"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","CA","DS","FC","FD","FF","FS","G","I","PI","CV","SG","A","DD","DP","GS","FT","GC","PP"
"558","Jean Paulo Fernandes Filho","jean","Jean","https://s.glbimg.com/es/sde/f/2020/02/27/a02f9e24f5855f3c44e2bdcb09e1804d_FORMATO.png",90933,14,373,"gol","Provável",0,9.42,0,3.81,12,"373",1,NA,1,1,NA,1,1,NA,84,NA,3,NA,16,NA,16,NA,NA,NA
"559","Ulisses Wilson Jeronymo Rocha ","ulisses","Ulisses","https://s.glbimg.com/es/sde/f/2020/08/17/0e567592573809f02b9880554b15c431_FORMATO.png",101647,14,267,"zag","Nulo",0,2,0,0,0,"267",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"560","Luan Sales do Nascimento","luan-sales","Luan Sales","https://s.glbimg.com/es/sde/f/2020/02/27/25e5ba5111423391cf04d80af4d3d556_FORMATO.png",105521,14,373,"lat","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"561","Ramiro Moschen Benetti","ramiro","Ramiro","https://s.glbimg.com/es/sde/f/2020/07/21/e0a5bdd5ef228e8a11c02f81d9776f1f_FORMATO.png",78715,14,264,"mei","Nulo",0,6.46,0,2.56,9,"264",2,23,13,1,4,5,1,NA,44,NA,NA,NA,NA,NA,NA,NA,NA,NA
"562","Victor Hugo Santana Carvalho","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/07/28/51d0ea8bb18b7deb239ab41038d9cf2a_FORMATO.png",95770,14,280,"mei","Contundido",0,3,0,0,0,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"563","Thonny Anderson da Silva Carvalho","thonny-anderson","Thonny Anderson","https://s.glbimg.com/es/sde/f/2020/07/28/50ffd2282fd3da3693e850891d65327e_FORMATO.png",101484,14,280,"mei","Suspenso",-6,3.53,-1.61,-2.05,2,"280",NA,2,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"564","Elias Lira Nogueira Júnior ","elias-lira","Elias Lira","https://s.glbimg.com/es/sde/f/2020/07/20/8d3ed365f45f18bd46f6f1219bc5b1c5_FORMATO.png",99034,14,292,"lat","Nulo",0,1,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"565","Lucas Eduardo Ribeiro de Souza","edu","Edu","https://s.glbimg.com/es/sde/f/2020/07/11/12e46f03fd938b8ea89ef01adafadbd4_FORMATO.png",105842,14,293,"zag","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"566","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2020/07/28/98ed816e6bc98070a63fcc74d25eca77_FORMATO.png",104625,14,280,"lat","Nulo",0,1.19,0,0.1,3,"280",NA,1,1,NA,1,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA
"567","Bruno Roberto Pereira da Silva","bruninho","Bruninho","https://s.glbimg.com/es/sde/f/2020/07/19/a8a4dd85c718d51ded9273e2453ecfd5_FORMATO.png",101716,14,292,"mei","Nulo",0,4.12,0,2.07,7,"292",1,6,2,3,3,3,NA,1,15,NA,NA,NA,NA,NA,NA,2,NA,NA
"568","Pedro Henrique Naressi Machado","pedro-naressi","Pedro Naressi","https://s.glbimg.com/es/sde/f/2020/09/14/46ddb181165c7727e2b17d88bb13428e_FORMATO.png",98529,14,354,"mei","Nulo",0,1,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"569","Lucas da Cruz Oliveira","oliveira","Oliveira","https://s.glbimg.com/es/sde/f/2020/02/27/12b3b5d05927082246dce985879c54cb_FORMATO.png",94514,14,373,"zag","Provável",-0.2,2.87,-0.71,2.35,7,"373",1,5,8,NA,NA,5,1,NA,30,NA,2,NA,NA,NA,NA,NA,NA,NA
"570","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2020/02/28/005f1178dd64dc721696b75d13b446ab_FORMATO.png",90917,14,293,"ata","Dúvida",0,4.26,0,1.56,8,"293",NA,4,7,NA,3,6,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"571","Tomás Esteban Cuello","cuello","Cuello","https://s.glbimg.com/es/sde/f/2020/07/28/1eeacbdffc5dd751f52728c41e6c3146_FORMATO.png",98909,14,280,"mei","Nulo",0,2,0,0,0,"280",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"572","Cleiton Schwengber","cleiton","Cleiton","https://s.glbimg.com/es/sde/f/2020/08/11/56999db7c665007bbfe8c1e1b0e76f8d_FORMATO.png",93882,14,280,"gol","Nulo",0,0.77,0,-1.56,9,"280",NA,NA,NA,NA,NA,2,NA,NA,70,NA,NA,NA,5,NA,14,NA,NA,NA
"573","Robson José Brilhante Martins","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/07/28/24d96e13fa7243a3ebaa5bf8a94bcdfd_FORMATO.png",97461,14,280,"ata","Nulo",0,2.03,0,1.46,5,"280",NA,3,3,NA,1,1,NA,NA,5,NA,NA,1,NA,NA,NA,NA,NA,NA
"574","Maílson Tenório dos Santos","mailson","Maílson","https://s.glbimg.com/es/sde/f/2018/05/24/d5727b385d03345fbbfcdc75ebcdbe7c_FORMATO.png",98034,14,292,"gol","Nulo",0,1.89,0,0.27,6,"292",1,1,1,NA,NA,1,NA,NA,54,NA,NA,NA,6,NA,8,NA,NA,NA
"575","Leonardo Rech Ortiz","leo-ortiz","Léo Ortiz","https://s.glbimg.com/es/sde/f/2020/07/28/090452058da707cf73facf6249235bfb_FORMATO.png",97867,14,280,"zag","Provável",1.7,8,-0.91,3.22,14,"280",1,29,12,1,4,7,2,NA,48,NA,1,NA,NA,NA,NA,NA,NA,NA
"576","Jonathan Cícero Moreira","jonathan","Jonathan","https://s.glbimg.com/es/sde/f/2019/03/30/8b5651c87880d8422c6440c0edfc069a_FORMATO.png",37662,14,293,"lat","Provável",3.5,9.56,0.02,2.92,7,"293",2,4,4,NA,NA,2,NA,NA,36,NA,4,1,NA,NA,NA,NA,NA,NA
"577","José Brandão Gonçalves Júnior","junior-brandao","Júnior Brandão","https://s.glbimg.com/es/sde/f/2020/02/27/78f5c554409caf5d629476e7df23316d_FORMATO.png",93909,14,373,"ata","Nulo",0,2.46,0,0.9,4,"373",NA,2,3,1,3,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA
"578","Éder Ferreira Graminho","eder","Éder ","https://s.glbimg.com/es/sde/f/2020/02/27/15b28caaa2392bbd4e619dee98680e8e_FORMATO.png",91203,14,373,"zag","Provável",-0.9,3.48,-1.1,1.14,12,"373",1,6,10,1,NA,8,NA,NA,54,NA,3,NA,NA,NA,NA,NA,NA,NA
"579","Fábio Santos Romeu","fabio-santos","Fábio Santos","https://s.glbimg.com/es/sde/f/2020/08/31/eafd006d2fd67a1a408086328eb3fd4c_FORMATO.png",38229,14,282,"lat","Nulo",1.6,5.51,-0.68,2.87,4,"282",NA,3,2,NA,NA,NA,NA,NA,5,NA,2,NA,NA,NA,NA,NA,NA,NA
"580","Edson Fernandes Botelho Júnior","edson-junior","Edson Júnior","https://s.glbimg.com/es/sde/f/2020/02/27/9d57e7ce2dd807fc1e2cd5ab58914a0d_FORMATO.png",93956,14,373,"ata","Nulo",0,1,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"581","Felipe Aguilar Mendoza","aguilar","Aguilar","https://s.glbimg.com/es/sde/f/2020/07/11/d7b3953a6bffe509daca41ab80ac36ae_FORMATO.png",95494,14,293,"zag","Nulo",0,5.59,0,2.02,4,"293",1,10,4,1,1,2,NA,NA,9,NA,1,NA,NA,NA,NA,NA,1,NA
"582","Leonardo Javier Realpe Montaño","realpe","Realpe","https://s.glbimg.com/es/sde/f/2020/07/28/b2e83687d1e3ee5357f4fde25603a389_FORMATO.png",106299,14,280,"zag","Nulo",0,3.3,0,0.85,4,"280",1,6,1,NA,1,1,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA
"583","Odair Hellmann","odair-hellmann","Odair Hellmann","https://s.glbimg.com/es/sde/f/2020/09/15/51596ac5f41f3ef6fbc80c02fc7ab63e_FORMATO.png",92273,14,266,"tec","Provável",5.23,9.66,0.57,3.54,14,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"584","José Ivaldo Almeida Silva","ze-ivaldo","Zé Ivaldo","https://s.glbimg.com/es/sde/f/2019/03/30/73d465434b401d66707cc13ffc19d3fd_FORMATO.png",91866,14,293,"zag","Nulo",0,6.17,0,3.75,2,"293",NA,3,1,NA,1,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA
"585","Alan Steven Franco Palma","franco","Franco","https://s.glbimg.com/es/sde/f/2020/08/31/b9998b0398f68bde01652c40392cd3be_FORMATO.png",39656,14,282,"mei","Nulo",0,5.24,0,2.71,12,"282",NA,11,17,2,4,12,3,1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA
"586","Alesandro dos Santos Pereira","ale-santos","Alê Santos","https://s.glbimg.com/es/sde/f/2020/02/27/5751271b660f08e0407f7ee70d3e829f_FORMATO.png",99256,14,292,"mei","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"587","Thiago Heleno Henrique Ferreira","thiago-heleno","Thiago Heleno","https://s.glbimg.com/es/sde/f/2019/03/30/d941b7a4bb640424918c02ce3d930666_FORMATO.png",38394,14,293,"zag","Provável",4.6,6.09,0.11,2.7,7,"293",3,10,7,NA,3,8,NA,NA,30,NA,3,NA,NA,NA,NA,NA,NA,NA
"588","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2020/09/25/673950963c89498fd335e11c04702a42_FORMATO.png",92696,14,293,"ata","Provável",1.3,6,-1.43,5.17,8,"293",1,3,15,6,8,15,4,5,28,NA,NA,NA,NA,NA,NA,NA,NA,NA
"589","Diego Tardelli Martins","diego-tardelli","Diego Tardelli","https://s.glbimg.com/es/sde/f/2020/08/31/7d9e7b5ca3e1599aa23e8f098978a809_FORMATO.png",38231,14,282,"ata","Contundido",0,9,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"590","Luís Eduardo Marques dos Santos","dudu","Dudu","https://s.glbimg.com/es/sde/f/2020/02/27/94657541c8cae30d9fa105e9c6215055_FORMATO.png",97133,14,373,"lat","Provável",4.7,4.76,0.01,2.53,12,"373",1,30,12,1,2,11,NA,1,95,1,3,NA,NA,NA,NA,NA,NA,NA
"591","Erick Luis Conrado de Carvalho","erick","Erick","https://s.glbimg.com/es/sde/f/2019/04/01/9717a07ef27fdd10d8ac6c25914a376e_FORMATO.png",98022,14,293,"mei","Provável",3.9,4.96,1.03,3.1,7,"293",2,17,9,4,5,3,NA,NA,21,NA,NA,1,NA,NA,NA,NA,NA,NA
"592","Nicolas Vichiatto da Silva","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/02/27/7f5642f8b7524479c49deb8ff60b5bdb_FORMATO.png",95127,14,373,"lat","Provável",0.1,6.85,-0.78,2.93,13,"373",NA,23,12,6,7,7,NA,1,146,NA,3,1,NA,NA,NA,NA,NA,NA
"593","Philip Luiz Soares da Silva","philip","Philip","https://s.glbimg.com/es/sde/f/2020/07/19/d35545c86a24c04675e015ea4e5c9a34_FORMATO.png",73758,14,292,"mei","Nulo",0,1.38,0,-0.4,1,"292",NA,NA,1,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"594","Gilberto Oliveira Souza Júnior","gilberto","Gilberto","https://s.glbimg.com/es/sde/f/2020/07/23/cfa56df3c36a70e02c751261d2b54d77_FORMATO.png",61188,14,265,"ata","Provável",9.6,8.95,1.49,3,11,"265",1,6,12,12,11,14,1,4,52,NA,NA,1,NA,NA,NA,1,NA,1
"595","Luan Cândido de Almeida","luan-candido","Luan Cândido","https://s.glbimg.com/es/sde/f/2020/07/28/6e72b464ec47e25ee0d33c043677901a_FORMATO.png",100848,14,280,"lat","Nulo",0,0.9,0,-3,1,"280",1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"596","Guilherme Bissoli Campos","bissoli","Bissoli","https://s.glbimg.com/es/sde/f/2020/03/03/9afb408f4d0f07b2b83a6b6e179b3766_FORMATO.png",100762,14,293,"ata","Nulo",0,2.32,0,0.28,4,"293",NA,1,3,1,1,2,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA
"597","Francisco Hyun Sol Kim","chico","Chico","https://s.glbimg.com/es/sde/f/2020/08/04/13893a6365a1a9dc6fc1d57912718f8d_FORMATO.png",82407,14,373,"ata","Provável",1.5,3.65,0.23,1.9,11,"373",1,7,9,3,5,10,NA,NA,52,NA,NA,2,NA,NA,NA,1,NA,NA
"598","Marcos Vinícius Sousa Natividade","marquinhos","Marquinhos","https://s.glbimg.com/es/sde/f/2020/02/27/636794bd55317612f53a95fc4663618f_FORMATO.png",102292,14,292,"ata","Provável",2,6.23,0.32,3,12,"292",4,24,18,NA,5,45,1,NA,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
"599","Márcio Gonzaga de Azevedo","marcio-azevedo","Márcio Azevedo","https://s.glbimg.com/es/sde/f/2019/03/30/94c0ddfd7cbc5c7244c6b1a5aecc258b_FORMATO.png",42491,14,293,"lat","Nulo",0,3.41,0,-0.12,4,"293",1,4,9,NA,NA,2,NA,1,35,NA,1,NA,NA,NA,NA,NA,NA,NA
"600","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2020/07/11/e9da062d8d871c42bec83c2f50387e58_FORMATO.png",62128,14,293,"ata","Nulo",0.3,3.37,-0.12,0.53,4,"293",NA,1,1,1,NA,2,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA
"601","Luis Manuel Orejuela García","orejuela","Orejuela","https://s.glbimg.com/es/sde/f/2020/07/19/2277b33232bf3b6a9c2e569271b9f87d_FORMATO.png",95352,14,284,"lat","Dúvida",0,8.19,0,3.41,10,"284",1,19,17,3,5,14,NA,1,115,NA,4,NA,NA,NA,NA,1,NA,NA
"602","Keisuke Honda","honda","Honda","https://s.glbimg.com/es/sde/f/2020/03/01/c6b6e92b1486785f81549715b0dc9164_FORMATO.png",69940,14,263,"mei","Provável",1.8,5.06,0.18,1.94,8,"263",NA,18,9,1,4,3,NA,NA,39,NA,NA,NA,NA,NA,NA,NA,NA,NA
"603","Rodrigo Eduardo Costa Marinho","rodriguinho","Rodriguinho","https://s.glbimg.com/es/sde/f/2020/07/19/53fbb01cb440a683d3d6cf3e622ea4dc_FORMATO.png",61033,14,265,"mei","Contundido",0,14.89,0,4.68,10,"265",NA,3,7,5,7,23,3,2,68,NA,NA,1,NA,NA,NA,1,NA,NA
"604","Pedro Gabriel Pereira Lopes","pedrinho","Pedrinho","https://s.glbimg.com/es/sde/f/2019/09/30/6a55930690acaca09d4ef83e23d8e8fd_FORMATO.png",100103,14,293,"ata","Nulo",0,2.41,0,0.85,6,"293",NA,2,6,1,2,3,NA,NA,12,NA,NA,NA,NA,NA,NA,1,NA,NA
"605","Henry Vaca Urquiza","henry-vaca","Henry Vaca","https://s.glbimg.com/es/sde/f/2020/09/05/b763cfbcafb68e3a1ca2a96aa7dc1f83_FORMATO.png",98992,14,373,"mei","Nulo",0,2.38,0,0.3,1,"373",NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"606","Matheus Antonio Souza dos Santos","matheus-pato","Matheus Pato","https://s.glbimg.com/es/sde/f/2020/02/27/cfc13c70b277f0c5b63a5534f08fad66_FORMATO.png",92290,14,266,"ata","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Vitor Hugo Naum dos Santos","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2019/08/09/4c1f2f2ebbf72fa37a797a53aababd3a_FORMATO.png",101960,14,293,"ata","Contundido",0,15.46,0,5.9,5,"293",1,5,13,4,2,11,2,NA,29,NA,NA,1,NA,NA,NA,1,NA,NA
"608","Jean Pyerre Casagrande Silveira Correa","jean-pyerre","Jean Pyerre","https://s.glbimg.com/es/sde/f/2019/07/09/c0831db56540c4e253fdd6affa63d176_FORMATO.png",98832,14,284,"mei","Nulo",0,12.85,0,4.7,4,"284",NA,8,3,2,8,6,NA,NA,25,NA,NA,NA,NA,NA,NA,1,NA,NA
"609","Walter Kannemann","kannemann","Kannemann","https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png",87342,14,284,"zag","Nulo",0,11.23,0,4.28,6,"284",3,20,18,2,1,9,NA,NA,20,NA,3,NA,NA,NA,NA,NA,NA,NA
"610","Wellington Aparecido Martins","wellington","Wellington","https://s.glbimg.com/es/sde/f/2019/03/30/79dd4d1b071e14e833f4b54ceaba247a_FORMATO.png",62129,14,293,"mei","Suspenso",-3.3,0.78,-0.01,-1.75,9,"293",6,7,24,1,2,4,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA
"611","Lucas Halter","lucas-halter","Lucas Halter","https://s.glbimg.com/es/sde/f/2019/05/18/8451dd8fd1ce139e8f57e002de068475_FORMATO.png",102253,14,293,"zag","Nulo",0,2.99,0,0.8,5,"293",1,3,7,1,1,4,NA,NA,25,NA,NA,1,NA,NA,NA,NA,NA,NA
"612","Rodrigo Caio Coquette Russo","rodrigo-caio","Rodrigo Caio","https://s.glbimg.com/es/sde/f/2020/07/21/235f42a8e045a0d3e49b97de151784b9_FORMATO.png",73800,14,262,"zag","Nulo",0,8.92,0,2.78,9,"Flamengo",1,18,9,1,3,3,NA,NA,16,NA,2,NA,NA,NA,NA,NA,NA,NA
"613","Fagner Conserva Lemos","fagner","Fagner","https://s.glbimg.com/es/sde/f/2020/07/21/86994a3b5f98e1f43ef23a09d56aa65c_FORMATO.png",42500,14,264,"lat","Provável",0.9,10.31,-0.65,2.2,8,"264",2,20,11,3,1,7,1,NA,88,1,1,NA,NA,NA,NA,NA,NA,NA
"614","Roberto Junior Fernández Torres","gatito-fernandez","Gatito Fernández","https://s.glbimg.com/es/sde/f/2019/09/19/70ca98c30fcb2c5e072b2494089c9fa5_FORMATO.png",74061,14,263,"gol","Nulo",0,14.9,0,5.6,8,"263",1,NA,NA,NA,NA,NA,NA,NA,62,NA,3,NA,13,NA,7,NA,NA,NA
"615","Willian Souza Arão da Silva","willian-arao","Willian Arão","https://s.glbimg.com/es/sde/f/2020/07/21/69e4e139a1d867fc6fc3d06b46ffd68d_FORMATO.png",78478,14,262,"mei","Provável",-0.8,7.75,-0.5,1.67,12,"Flamengo",1,26,14,1,5,5,NA,NA,47,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2020/03/01/71d59c690cc2fcd14acc5c49fbe44148_FORMATO.png",38140,14,354,"gol","Provável",3.9,7.12,-0.67,4.35,14,"354",2,NA,NA,NA,NA,NA,NA,NA,121,NA,5,NA,23,NA,20,NA,NA,NA
"617","Luis Oscar González","lucho-gonzalez","Lucho González","https://s.glbimg.com/es/sde/f/2019/03/30/53d81b4d0fe0473120e74c998cbcd3bc_FORMATO.png",71479,14,293,"mei","Nulo",0,3.07,0,-0.24,5,"293",1,1,5,NA,1,1,NA,1,15,NA,NA,NA,NA,NA,NA,1,NA,NA
"618","Anderson Silva da Paixão","anderson","Anderson","https://s.glbimg.com/es/sde/f/2019/09/25/83402cd7511dec123de5ec04e0677a53_FORMATO.png",102906,14,293,"gol","Nulo",0,2,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Danilo Carvalho Barcelos","danilo-barcelos","Danilo Barcelos","https://s.glbimg.com/es/sde/f/2020/09/03/1b0bc8c97f0339c38008ff5227279607_FORMATO.png",84382,14,266,"lat","Provável",-2.2,2.17,-0.65,-1.15,7,"266",2,9,18,2,2,1,NA,NA,85,1,1,NA,NA,NA,NA,NA,NA,NA
"620","Lucas Pereira Ribeiro de Souza","lucas-pereira","Lucas Pereira","https://s.glbimg.com/es/sde/f/2020/02/27/7accab459be3ca0353d8cfe1819fcd5c_FORMATO.png",100100,14,373,"gol","Nulo",0,2,0,0,0,"373",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Edilson Borba de Aquino","orinho","Orinho","https://s.glbimg.com/es/sde/f/2020/08/11/15687cfb7561b9508632e075138d3bfc_FORMATO.png",95542,14,266,"lat","Nulo",0,4,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Cássio Roberto Ramos","cassio","Cássio","https://s.glbimg.com/es/sde/f/2020/07/21/d69bc6de4b00dce33cf2a3f7303c2c45_FORMATO.png",42234,14,264,"gol","Provável",-2.1,8.02,-1.36,1.46,11,"264",NA,1,NA,NA,NA,NA,NA,NA,49,NA,2,NA,10,NA,15,NA,NA,NA
"623","Carlos Gilberto do Nascimento Silva","gil","Gil","https://s.glbimg.com/es/sde/f/2020/07/21/9d2bb30d4d5c8fa348e34de81829cfa8_FORMATO.png",68923,14,264,"zag","Provável",0.9,5.06,-0.68,2.27,10,"264",1,15,8,NA,1,5,NA,NA,46,NA,2,1,NA,NA,NA,NA,NA,NA
"624","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2020/07/23/c62b021ccea14898e0104605a648a450_FORMATO.png",80189,14,265,"zag","Provável",3.8,4.59,0.59,0.85,4,"265",NA,1,4,NA,NA,1,NA,NA,11,NA,1,NA,NA,NA,NA,NA,NA,NA
"625","Filipe Luís Kasmirski","filipe-luis","Filipe Luís","https://s.glbimg.com/es/sde/f/2020/07/21/13c7ce26874ca832a2aa481d63ff0347_FORMATO.png",38750,14,262,"lat","Provável",5.4,6.42,0.65,3.25,10,"Flamengo",2,23,12,2,1,12,1,1,72,NA,3,NA,NA,NA,NA,NA,1,NA
"626","Matheus dos Santos Miranda","miranda","Miranda","https://s.glbimg.com/es/sde/f/2020/08/17/1cbd279a52f1e6ab977c059e6068442a_FORMATO.png",101720,14,267,"zag","Dúvida",0.3,3.57,-0.53,1.97,10,"267",1,15,5,NA,NA,9,NA,NA,54,NA,2,NA,NA,NA,NA,NA,NA,NA
"627","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2020/07/21/6b23ad91843aeaf82a87d7ac0f322ec2_FORMATO.png",86759,14,264,"mei","Provável",0.7,7.16,-0.34,2.95,6,"264",NA,6,6,2,2,6,1,NA,33,NA,NA,NA,NA,NA,NA,1,NA,NA
"628","José Joaquim de Carvalho","zeca","Zeca","https://s.glbimg.com/es/sde/f/2020/08/26/44eafed43db0f7d9f5ef802ee7efa7aa_FORMATO.jpeg",94976,14,290,"ata","Nulo",0,0.75,0,-1.07,3,"290",1,1,3,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Diego Alves Carreira","diego-alves","Diego Alves","https://s.glbimg.com/es/sde/f/2020/07/21/b85acd7e2d0f1ab91194e144715ce869_FORMATO.png",38509,14,262,"gol","Nulo",0,10.72,0,2.22,5,"Flamengo",NA,NA,NA,NA,NA,2,NA,NA,19,1,1,NA,6,NA,6,NA,NA,NA
"630","Joao Robin Rojas Mendoza","joao-rojas","Joao Rojas","https://s.glbimg.com/es/sde/f/2020/03/09/df53a31bb47d9ca7d71c5826b26910ea_FORMATO.png",70784,14,276,"ata","Nulo",0,6,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"631","Diego Ribas da Cunha","diego","Diego","https://s.glbimg.com/es/sde/f/2020/07/21/89f8a5f044d80c7eac44cc7e54d18438_FORMATO.png",38909,14,262,"mei","Provável",8.7,5.87,1.72,1,9,"Flamengo",2,3,11,NA,3,21,NA,NA,24,NA,NA,1,NA,NA,NA,NA,NA,NA
"632","Wilson Rodrigues de Moura Júnior","wilson","Wilson","https://s.glbimg.com/es/sde/f/2020/03/02/dfd945324c953bf8961a2733f8878bdf_FORMATO.png",50284,14,294,"gol","Provável",-4.4,7.47,-1,2.66,14,"Coritiba",NA,1,NA,NA,NA,2,NA,NA,128,NA,3,NA,16,1,19,NA,NA,NA
"633","Rodrigo Gomes dos Santos","rodrigao","Rodrigão","https://s.glbimg.com/es/sde/f/2020/03/02/2b9219cf2dd42545e6b9924980aa8718_FORMATO.png",90651,14,354,"ata","Nulo",0,6,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"634","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/07/20/68fe04ad87ce709e167f9819592fe87f_FORMATO.png",92182,14,265,"zag","Provável",6.7,9.2,0.91,2.82,11,"265",NA,17,3,2,3,4,1,1,38,1,2,NA,NA,NA,NA,NA,NA,NA
"635","José Élber Pimentel da Silva","elber","Élber","https://s.glbimg.com/es/sde/f/2020/07/24/4a3f794325acc2d6bd02a0c556444c2d_FORMATO.png",74140,14,265,"ata","Nulo",0.8,8.94,-0.15,3.4,12,"265",NA,11,5,6,5,28,1,4,70,NA,NA,1,NA,NA,NA,1,NA,NA
"636","César Bernardo Dutra","cesar","César","https://s.glbimg.com/es/sde/f/2020/07/21/422618b5070192c3866d9dc58a74354a_FORMATO.png",78086,14,262,"gol","Nulo",0,3.38,0,1.2,4,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,12,NA,2,NA,NA,NA,2,NA,NA,NA
"637","Mike dos Santos Nenatarvicius","mike","Mike","https://s.glbimg.com/es/sde/f/2020/08/26/358cf602cf5fba4ab21e7f61d2a02cf6_FORMATO.jpeg",72389,14,290,"ata","Nulo",1.1,3.2,-0.01,1.13,7,"290",1,4,4,1,4,10,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Luan Silva dos Santos","luan-silva","Luan Silva","https://s.glbimg.com/es/sde/f/2020/03/07/9323f3231e0e80378421c98fe7c6b795_FORMATO.png",102295,14,275,"ata","Contundido",0,2,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Willian Klaus","klaus","Klaus","https://s.glbimg.com/es/sde/f/2020/03/02/48f74d37e908c5f5cf68c0ccaf907aca_FORMATO.png",90846,14,354,"zag","Contundido",0,4.13,0,-0.3,1,"354",NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA
