"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","CA","FC","FS","PE","RB","SG","DD","GS","FD","FF","G","FT","A","I","DP","PP","CV","GC"
"612","Jairo Santos de Oliveira Filho","jairinho","Jairinho","https://s.glbimg.com/es/sde/f/2019/05/04/5f48ebf39427ff35dd65f6f1b4768386_FORMATO.png",102139,11,267,"ata","Nulo",0,2.89,0,1.77,"Vasco",NA,1,4,2,2,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"613","Bruno Méndez Cittadini","bruno-mendez","Bruno Méndez","https://s.glbimg.com/es/sde/f/2019/05/23/0dc006a6698913db3ce69120b8804b8c_FORMATO.png",103700,11,264,"zag","Nulo",0,5.31,0,3.7,"Corinthians",1,2,NA,7,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Walter Henrique da Silva","walter","Walter","https://s.glbimg.com/es/sde/f/2019/05/09/07ab5db1f79c2241d47cf70bd2468e76_FORMATO.png",62128,11,290,"ata","Suspenso",0,5,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Rick Jhonatan Lima Morais","rick","Rick","https://s.glbimg.com/es/sde/f/2019/05/07/16dd4157b1d7457f46c1c3f0e15cfc70_FORMATO.png",104459,11,354,"ata","Nulo",0,1.82,0,0.82,"Ceará",NA,2,1,5,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"616","Matheus Sousa de Jesus","matheus-jesus","Matheus Jesus","https://s.glbimg.com/es/sde/f/2019/05/09/e71fd15038b4159201c4558cc307a573_FORMATO.png",95335,11,264,"mei","Nulo",0,5,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"617","João Lucas de Almeida Carvalho","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2019/05/09/5068741391b0dcdd7fef7972922e2b38_FORMATO.png",104257,11,262,"lat","Nulo",0,2.61,0,4.7,"Flamengo",NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"618","Miguel Silveira dos Santos","miguel","Miguel","https://s.glbimg.com/es/sde/f/2019/05/15/50ad076df15a064baadf9eaf5d832c7c_FORMATO.png",105612,11,266,"mei","Nulo",0,2.33,0,0.2,"Fluminense",NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Felipe Rodrigues da Silva","morato","Morato","https://s.glbimg.com/es/sde/f/2019/05/17/06c314cb618673bb9ed533eb908ec42a_FORMATO.png",105613,11,276,"zag","Nulo",0,1,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Vanderlei Luxemburgo da Silva","vanderlei-luxemburgo","Vanderlei Luxemburgo","https://s.glbimg.com/es/sde/f/2019/05/20/9fcaa473e56ff2a1a519c0b461160bc0_FORMATO.png",41327,11,267,"tec","Provável",3.38,7.75,0.33,3.17,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Roni Medeiros de Moura","roni","Roni","https://s.glbimg.com/es/sde/f/2019/04/30/4d83ae2a6fb83ce19a30e77021066844_FORMATO.png",105585,11,264,"mei","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Geovane Silva Santos","geovane","Geovane","",105635,11,293,"mei","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"623","Mauricio Magalhães Prado","mauricio","Mauricio","",105647,11,283,"mei","Provável",3.6,1.71,0.72,2.25,"Cruzeiro",NA,1,1,5,3,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA
"624","Gabriel Henrique Chavoni Fornari","gabriel-fornari","Gabriel Fornari","https://s.glbimg.com/es/sde/f/2019/05/19/7cabec74a311c35c7c5daf6981bea68f_FORMATO.png",105636,11,293,"zag","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Ernandes Dias Luz","ernandes","Ernandes","https://s.glbimg.com/es/sde/f/2019/06/12/4a24187544253bd7f0dfb7afd79c5c18_FORMATO.png",68956,11,315,"lat","Suspenso",0,2.32,0,1.9,"Chapecoense",NA,NA,1,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"626","Carlos Eduardo Ferreira de Souza","carlos-eduardo","Carlos Eduardo","https://s.glbimg.com/es/sde/f/2019/01/14/065996f5e53a936d45d1b737405dfb27_FORMATO.jpeg",90917,11,275,"ata","Dúvida",0,3.17,0,-2.5,"Palmeiras",1,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"627","Eduardo Pereira Rodrigues","dudu","Dudu","https://s.glbimg.com/es/sde/f/2019/01/14/819c40f79c6d36a3a715ac4cc0e6ddba_FORMATO.jpeg",68920,11,275,"ata","Nulo",1.2,17.48,-1.54,5.9,"Palmeiras",NA,4,24,17,2,NA,NA,NA,2,12,2,NA,NA,1,NA,NA,NA,NA
"628","Willian Gomes de Siqueira","willian","Willian","https://s.glbimg.com/es/sde/f/2019/01/14/60f84b09140055d7fb8c0d0892d5f573_FORMATO.jpeg",42116,11,275,"ata","Provável",2,7.82,0.22,1,"Palmeiras",NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Arthur Mendonça Cabral","arthur-cabral","Arthur Cabral","https://s.glbimg.com/es/sde/f/2019/01/14/59058b439e69f8a17e72d1a75aa3314a_FORMATO.jpeg",92171,11,275,"ata","Nulo",0,8,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Deyverson Brum Silva Acosta","deyverson","Deyverson","https://s.glbimg.com/es/sde/f/2019/01/14/3437ba3702c7494eee6e3469ceacfe97_FORMATO.jpeg",92708,11,275,"ata","Nulo",6.6,11.3,0.42,4.52,"Palmeiras",1,10,17,13,5,NA,NA,NA,5,10,1,NA,1,10,NA,NA,NA,NA
"631","Felipe Augusto Rodrigues Pires","felipe-pires","Felipe Pires","https://s.glbimg.com/es/sde/f/2019/07/22/89697003a322b9831e66b5976e423c66_FORMATO.png",100289,11,356,"ata","Nulo",0,5,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"632","Miguel Ángel Borja Hernández","borja","Borja","https://s.glbimg.com/es/sde/f/2019/01/14/393ccccd62c119cd16a7237e06bb54bf_FORMATO.jpeg",86120,11,275,"ata","Dúvida",0,7,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"633","Bruno Henrique Corsini","bruno-henrique","Bruno Henrique","https://s.glbimg.com/es/sde/f/2019/01/14/57fb81b73c89620d18f66384c4d61108_FORMATO.jpeg",70944,11,275,"mei","Nulo",-1.9,10.47,-2.05,2.3,"Palmeiras",NA,11,4,11,5,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA
"634","Luiz Felipe Scolari","luiz-felipe-scolari","Luiz Felipe Scolari","https://s.glbimg.com/es/sde/f/2018/08/03/d69c893d37fe02578baf16e9f5ca22fd_FORMATO.png",43618,11,275,"tec","Provável",2.94,12.23,-0.2,4.96,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"635","Felipe Dias Fonte Mosquete","felipe-mosquete","Felipe Mosquete","https://s.glbimg.com/es/sde/f/2019/03/26/6b0ace75db697f11e8d9bd5d9c4e920e_FORMATO.png",105397,11,290,"gol","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Eduardo Luís Abonizio de Souza","edu-dracena","Edu Dracena","https://s.glbimg.com/es/sde/f/2019/06/05/4b2eb6b4e8d69e5d9596ee97455c1859_FORMATO.png",37657,11,275,"zag","Provável",0,6.41,0,4.77,"Palmeiras",NA,2,1,1,1,2,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"637","José Carlos Ferreira Júnior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2019/07/08/6bee46606625768114c3a7c4f48ecde5_FORMATO.png",92182,11,265,"zag","Provável",9,5.07,2.1,4.35,"Bahia",NA,1,NA,3,1,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA
"638","Luan Garcia Teixeira","luan","Luan","https://s.glbimg.com/es/sde/f/2019/01/14/a90df5771f9066a2c5babe59b575790d_FORMATO.jpeg",80692,11,275,"zag","Nulo",9.2,10.79,0.22,7.1,"Palmeiras",NA,1,4,1,4,1,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"639","Jailson Marcelino dos Santos","jailson","Jailson","https://s.glbimg.com/es/sde/f/2019/01/14/89275763a0ba1f9787279a68c22de24f_FORMATO.jpeg",72290,11,275,"gol","Nulo",0,8,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2019/06/04/82859093e0dc5964ab48dbe20839b60d_FORMATO.png",79702,11,275,"zag","Provável",0,6.6,0,3.1,"Palmeiras",2,5,2,5,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"641","Fernando Buttenbender Prass","fernando-prass","Fernando Prass","https://s.glbimg.com/es/sde/f/2019/01/14/fa2170b10aa6b39a49f233749a326dec_FORMATO.jpeg",38140,11,275,"gol","Provável",0,8,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Diogo Barbosa Mendanha","diogo-barbosa","Diogo Barbosa","https://s.glbimg.com/es/sde/f/2019/07/17/7b62744c1b953b4b9efd8b0e0fb8d099_FORMATO.png",70916,11,275,"lat","Nulo",2.9,14.32,-0.61,8.37,"Palmeiras",NA,6,7,5,22,3,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA
"643","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2019/01/14/6656cffa0a00120d740886ec3a73c1df_FORMATO.jpeg",86410,11,275,"lat","Provável",0,7,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2019/01/14/ea7db8fa2a3e153ecdfb733b6c70c6c7_FORMATO.jpeg",79887,11,275,"lat","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Marcos Luis Rocha Aquino","marcos-rocha","Marcos Rocha","https://s.glbimg.com/es/sde/f/2019/01/14/7f464fdea223af04dca8d52a2ac4d9d7_FORMATO.jpeg",63013,11,275,"lat","Nulo",1.8,16.72,-0.2,8.22,"Palmeiras",NA,8,6,16,17,3,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA
"646","Alejandro Abraham Guerra Morales","guerra","Guerra","https://s.glbimg.com/es/sde/f/2019/07/08/d6e7cb486a2b10326ee24be81701aef1_FORMATO.png",74213,11,265,"mei","Contundido",0,3.67,0,-0.5,"Bahia",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"647","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2019/01/14/160ad6a02501aba225a8ebd56873a2c7_FORMATO.jpeg",85931,11,275,"mei","Provável",0,4.32,0,-0.5,"Palmeiras",NA,2,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"648","Mayke Rocha de Oliveira","mayke","Mayke","https://s.glbimg.com/es/sde/f/2019/01/14/44f0336a3733e2e3fb4fccc9cf275f3a_FORMATO.jpeg",81150,11,275,"lat","Provável",0,10,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"649","Matheus Fernandes Siqueira","matheus-fernandes","Matheus Fernandes","https://s.glbimg.com/es/sde/f/2019/01/14/6c44cb9987aece7b067a5e308a05a551_FORMATO.jpeg",94067,11,275,"mei","Nulo",0,5,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","Lucas Rafael Araujo Lima","lucas-lima","Lucas Lima","https://s.glbimg.com/es/sde/f/2019/01/14/3629dc12c2a7c9f0e4c6c53a4a2cbb61_FORMATO.jpeg",80583,11,275,"mei","Nulo",0,5.08,0,1.3,"Palmeiras",1,8,3,6,3,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA
"651","Weverton Guilherme da Silva Souza","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/05/30/48a83901711e5cb65605aad4d0a20615_FORMATO.png",104625,11,283,"lat","Provável",5.6,4.07,0.3,6.9,"Cruzeiro",NA,NA,NA,5,3,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"652","Jean Raphael Vanderlei Moreira","jean","Jean","https://s.glbimg.com/es/sde/f/2019/01/14/207e69e5aa0f7a726fd16599f889feec_FORMATO.jpeg",62047,11,275,"mei","Nulo",0,6,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"653","Raphael Cavalcante Veiga","raphael-veiga","Raphael Veiga","https://s.glbimg.com/es/sde/f/2019/01/14/e85d3259b80c8d878e2b07eae90749ee_FORMATO.jpeg",94509,11,275,"mei","Provável",3,7.89,0.4,4.4,"Palmeiras",NA,2,4,2,NA,NA,NA,NA,2,3,1,NA,NA,NA,NA,NA,NA,NA
"654","Thiago dos Santos","thiago-santos","Thiago Santos","https://s.glbimg.com/es/sde/f/2019/01/14/c215c66c4f1a435e26c1d93d00555071_FORMATO.jpeg",78855,11,275,"mei","Provável",0,6.17,0,1.98,"Palmeiras",NA,11,1,3,9,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA
"655","José Rafael Vivian","ze-rafael","Zé Rafael","https://s.glbimg.com/es/sde/f/2019/01/14/297712b048dce3da334c1701833a889a_FORMATO.jpeg",82455,11,275,"mei","Nulo",2.1,10.02,-0.31,3.42,"Palmeiras",2,14,18,8,9,NA,NA,NA,4,2,NA,NA,1,NA,NA,NA,NA,NA
"656","Elias Martello Curzel","elias","Elias","https://s.glbimg.com/es/sde/f/2018/05/18/914d44f55072f4eb554217f96488b7ae_FORMATO.png",90843,11,315,"gol","Nulo",0,2,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","Patrick Machado Ferreira ","patrick","Patrick","https://s.glbimg.com/es/sde/f/2017/08/16/34305aca84639e95caaf29addb016bab_FORMATO.png",99918,11,284,"mei","Nulo",0,1.52,0,1.2,"Grêmio",NA,NA,NA,1,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"658","Felipe Melo de Carvalho","felipe-melo","Felipe Melo","https://s.glbimg.com/es/sde/f/2019/01/14/77b041717dd4a70bd6537a299732619b_FORMATO.jpeg",38545,11,275,"mei","Suspenso",2.9,6.73,0.24,0.72,"Palmeiras",3,6,9,9,3,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA
"659","Gustavo Henrique Furtado Scarpa","gustavo-scarpa","Gustavo Scarpa","https://s.glbimg.com/es/sde/f/2019/01/14/ecfff46ca7c7e833694357f560f6c1c6_FORMATO.jpeg",87999,11,275,"mei","Provável",2.5,3.4,0.01,1.02,"Palmeiras",NA,2,3,8,2,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA
"660","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,11,263,"gol","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"661","Weverton Pereira da Silva","weverton","Weverton","https://s.glbimg.com/es/sde/f/2019/01/14/5b1562d1bba27830fd9ed3e313848728_FORMATO.jpeg",71631,11,275,"gol","Nulo",-1.3,14.51,-2.13,6.27,"Palmeiras",NA,NA,3,3,NA,3,10,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Talles Magno Bacelar Martins","talles","Talles","https://s.glbimg.com/es/sde/f/2019/06/03/d39e2057a3605b92b412644c04b8d41e_FORMATO.png",105786,11,267,"ata","Nulo",0,0.76,0,-0.95,"Vasco",NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Renato Kayzer de Souza","renato-kayzer","Renato Kayzer","https://s.glbimg.com/es/sde/f/2015/10/28/db01ff9fdb31294b5a212440599c6fbf_FORMATO.png",92696,11,315,"ata","Provável",-2.3,0.93,-0.81,-0.7,"Chapecoense",NA,7,3,2,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA
"664","Lucas Camilo Hernández Perdomo","lucas-hernandez","Lucas Hernández","https://s.glbimg.com/es/sde/f/2019/06/05/2e1901899d630ed1bfcc833d35f44ff0_FORMATO.png",98822,11,282,"lat","Provável",-3.4,1.56,-0.84,-2.75,"Atlético-MG",2,9,3,4,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"665","Ulisses Wilson Jeronymo Rocha ","ulisses","Ulisses","https://s.glbimg.com/es/sde/f/2019/06/11/1a341fe981b6a8b7eb3b0c0c36c642d4_FORMATO.png",101647,11,267,"zag","Nulo",0,1,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Darlan Pereira Mendes","darlan","Darlan","https://s.glbimg.com/es/sde/f/2019/06/16/7fd2d1907ddaceb40f1dacde40a11fa3_FORMATO.png",104593,11,284,"mei","Provável",0,0.76,0.01,-0.15,"Grêmio",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"667","Victor Neves Rangel","victor-rangel","Victor Rangel","https://s.glbimg.com/es/sde/f/2019/06/20/68c92fea870e9b185df2fa94eff0bf62_FORMATO.png",82653,11,263,"ata","Nulo",-0.3,1.93,-0.11,-0.55,"Botafogo",NA,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Gustavo Raúl Gómez Portillo","gustavo-gomez","Gustavo Gómez","https://s.glbimg.com/es/sde/f/2019/01/14/3bd03adab98a337f19a89fde0e3a3b69_FORMATO.jpeg",71684,11,275,"zag","Nulo",0,13.33,-1.99,4.33,"Palmeiras",2,1,3,4,2,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA
"669","Leonardo Moreira Morais","leo","Léo","https://s.glbimg.com/es/sde/f/2019/07/01/dce58b5969996058d9c5d6c3f3577ead_FORMATO.png",69177,11,314,"lat","Provável",4.4,4.65,0.9,3.2,"Avaí",NA,2,2,3,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"670","Lucas da Silva Ribeiro Campos","lucas-campos","Lucas Campos","https://s.glbimg.com/es/sde/f/2019/01/20/a803ff15ed500f9f3202c2a2d72c1ac4_FORMATO.jpeg",99903,11,263,"ata","Nulo",0,1.18,0,0.75,"Botafogo",NA,2,1,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"671","Luiz Henrique Pachu Lira","pachu","Pachu","https://s.glbimg.com/es/sde/f/2019/06/11/5d64f4f8e8a449f119b6a195390dae44_FORMATO.png",97352,11,263,"ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"672","Luis Henrique Tomaz de Lima","luis-henrique","Luis Henrique ",NA,105049,11,263,"ata","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Yuri Cesar Santos de Oliveira Silva","yuri","Yuri ",NA,103446,11,262,"mei","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Victor Hugo Soares dos Santos","kanu","Kanu","https://s.glbimg.com/es/sde/f/2018/05/17/2db8b29bbc16d8473f93bd1f8a0351dc_FORMATO.png",98484,11,263,"zag","Nulo",0,1,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Ramon Ramos Lima","ramon","Ramon",NA,101597,11,262,"lat","Nulo",0,2,0,0,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Francisco Jozielson Soares de Gouveia","romarinho-gouveia","Romarinho Gouveia","",102891,11,356,"ata","Nulo",0,1,0,0,"Fortaleza",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Ramires Santos do Nascimento","ramires","Ramires","https://s.glbimg.com/es/sde/f/2019/07/15/f7e7e1bc3ae4b0d7928b527e2e567bc1_FORMATO.png",50293,11,275,"mei","Nulo",1.3,8.11,-1.89,1.3,"Palmeiras",NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"678","Jorge Fernando Pinheiro de Jesus","jorge-jesus","Jorge Jesus","https://s.glbimg.com/es/sde/f/2019/07/09/26c25e5a9a9db587106dd377725a743a_FORMATO.png",71224,11,262,"tec","Provável",1.66,12.71,-1.26,5.71,"Flamengo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Filipe Candido da Trindade","filipe-trindade","Filipe Trindade",NA,105341,11,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680","Heron Crespo da Silva","heron","Heron","",105339,11,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681","Welligton Alexandre da Rocha","welligton-rocha","Welligton Rocha","https://s.glbimg.com/es/sde/f/2019/07/02/843445f395749c41979be87eb844e960_FORMATO.png",105846,11,293,"zag","Nulo",0,1,0,0,"Athlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Julián Alfonso Benítez Franco","benitez","Benítez","https://s.glbimg.com/es/sde/f/2019/07/08/9c3893459725975d58686d8aceac598e_FORMATO.png",73155,11,341,"ata","Nulo",0,6,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683","Guilherme da Silva Azevedo","guilherme-azevedo","Guilherme Azevedo","",105837,11,284,"ata","Nulo",0,1,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Ramón Martínez López","ramon-martinez","Ramón Martínez","https://s.glbimg.com/es/sde/f/2019/06/14/f452299e051661e5307fd72b085fcdcc_FORMATO.png",92155,11,282,"mei","Nulo",0,4.69,-0.71,1.75,"Atlético-MG",NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Rondinelli da Silva Vieira ","da-silva","Da Silva","https://s.glbimg.com/es/sde/f/2019/07/12/380d621745973d53ba54bcea8b8a9dbd_FORMATO.png",105836,11,284,"ata","Nulo",0,0.76,0,-0.5,"Grêmio",NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Rodolfo Vicente Gamarra Varela","gamarra","Gamarra","https://s.glbimg.com/es/sde/f/2019/07/08/d5b3fba549a4fd01075274610e2c1fe0_FORMATO.png",69288,11,341,"ata","Nulo",0,8,0,0,"CSA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687","Jean Cléber Santos da Silva","jean-cleber","Jean Cléber","https://s.glbimg.com/es/sde/f/2019/07/08/5670e68dc69e316eb45de8decf7fa03a_FORMATO.png",73858,11,341,"mei","Provável",0.1,1.75,-0.17,-0.35,"CSA",1,3,4,5,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"688","Rómulo Otero Vásquez","otero","Otero","https://s.glbimg.com/es/sde/f/2018/05/07/51441cf2ec940cdfbdef8dd0ee853621_FORMATO.png",83004,11,282,"mei","Nulo",0,8.96,0,6.3,"Atlético-MG",NA,1,5,3,NA,NA,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,NA
"689","David Braz de Oliveira Filho","david-braz","David Braz","https://s.glbimg.com/es/sde/f/2019/07/11/f65cb9c66819841ed0804a986c1c1cce_FORMATO.png",50317,11,284,"zag","Provável",2,6.6,-0.14,2.55,"Grêmio",NA,1,NA,3,3,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
"690","Lucas Estella Perri","lucas-perri","Lucas Perri","https://s.glbimg.com/es/sde/f/2018/05/26/5818d20df4c7c3248d9dc04c6864aa03_FORMATO.png",91260,11,276,"gol","Nulo",0,2,0,0,"São Paulo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691","Alan Carlos de Paula Dias Filho","alan","Alan","https://s.glbimg.com/es/sde/f/2019/03/26/4ebe446997649a79d3d0d6f81824f76d_FORMATO.png",105395,11,290,"zag","Nulo",0,1,0,0,"Goiás",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692","Wanderson de Jesus Martins","caju","Caju","https://s.glbimg.com/es/sde/f/2018/05/23/d542d3f59d1525cd33fbcc9032b3f111_FORMATO.png",89342,11,277,"lat","Nulo",0,3,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693","Iván Darío Angulo Cortés","ivan-angulo","Iván Angulo","https://s.glbimg.com/es/sde/f/2019/07/02/731398bec297fdd7b71603f1da8e4c61_FORMATO.jpeg",105841,11,275,"ata","Nulo",0,4,0,0,"Palmeiras",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
