"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.clube.id.full.name","DD","DP","FS","GS","PE","SG","A","FC","I","RB","CA","FD","FF","GC","G","CV","FT","PP"
"640","Leandro Marcos Pereira","leandro-pereira","Leandro Pereira","https://s.glbimg.com/es/sde/f/2018/04/20/66bf3e845077a9349722635410bed305_FORMATO.png",78968,34,"CHA","ata","Provável",1.1,7.18,-1.38,3.47,"Chapecoense",NA,NA,39,NA,19,NA,NA,49,18,18,4,17,26,NA,7,1,3,NA
"641","Leonardo Pinheiro da Conceição","leo","Léo","https://s.glbimg.com/es/sde/f/2018/03/21/c6572fbc65cb9ee9ad6f2d3e068ccbd1_FORMATO.png",85626,34,"BAH","lat","Provável",0.9,9.1,0.01,3.15,"Bahia",NA,NA,24,NA,62,8,1,34,6,41,1,6,8,NA,NA,NA,NA,NA
"642","Moisés Ribeiro Santos","moises-ribeiro","Moisés Ribeiro","https://s.glbimg.com/es/sde/f/2017/04/25/c7b046cc3c9a420d4047bb8d6d4b6570_FORMATO.png",78991,34,"CHA","mei","Suspenso",0,4,0,0,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Martín Rea Zuccotti","martin-rea","Martín Rea","https://s.glbimg.com/es/sde/f/2018/08/15/112cfc233171e1ce071bc8982b37d432_FORMATO.png",103093,34,"ATL","zag","Nulo",0,6,0,0,"Atlético-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Aylon Darwin Tavella","aylon","Aylon","https://s.glbimg.com/es/sde/f/2018/05/07/5a02ebebae94350f74b0622d02730891_FORMATO.png",85930,34,"AME","ata","Nulo",0,5.86,0,1.46,"América-MG",NA,NA,15,NA,13,NA,1,16,7,7,3,6,9,NA,NA,NA,1,NA
"645","Tiago Pagnussat","tiago","Tiago ","https://s.glbimg.com/es/sde/f/2018/03/21/d0b3cd897f4a410323886fb6d92bd822_FORMATO.png",79042,34,"BAH","zag","Nulo",0,10.1,0,4.1,"Bahia",NA,NA,15,NA,38,5,NA,25,2,26,3,5,9,NA,2,NA,NA,NA
"646","Hyoran Kaue Dalmoro","hyoran","Hyoran","https://s.glbimg.com/es/sde/f/2017/02/19/1ec83086a8ae2fe33a1e88113fff1ac1_FORMATO.png",85931,34,"PAL","mei","Nulo",0,5.63,0,3.19,"Palmeiras",NA,NA,21,NA,33,NA,6,35,4,16,5,9,17,NA,3,NA,1,NA
"647","Luiz Felipe do Nascimento dos Santos","luiz-felipe","Luiz Felipe","https://s.glbimg.com/es/sde/f/2018/05/23/eb04770f3da8a1f12c1c106ae49306e1_FORMATO.png",79035,34,"SAN","zag","Contundido",0,2.85,0,2.33,"Santos",NA,NA,9,NA,12,4,NA,12,2,9,4,NA,2,NA,NA,NA,NA,NA
"648","Guilherme Bitencourt da Silva","guilherme-biteco","Guilherme Biteco","https://s.glbimg.com/es/sde/f/2018/03/21/99b739570272c9b1d4c9ce878c22407c_FORMATO.png",79064,34,"PAR","mei","Nulo",0,3.99,0,1.12,"Paraná",NA,NA,1,NA,4,NA,NA,3,NA,2,3,1,2,NA,1,NA,NA,NA
"649","Víctor Leandro Cuesta","victor-cuesta","Víctor Cuesta","https://s.glbimg.com/es/sde/f/2018/04/08/b6cd86f9590fd3e82cb545ac74dc8c41_FORMATO.png",79113,34,"INT","zag","Provável",5.6,17.76,-0.38,6.39,"Internacional",NA,NA,34,NA,61,14,2,40,3,87,10,3,4,NA,2,1,NA,NA
"650","Fabiano da Silva Souza","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/09/04/dd622172f30483dda8563ef9249cdae1_FORMATO.png",79244,34,"VIT","lat","Provável",0,5.82,0,3.41,"Vitória",NA,NA,5,NA,32,2,1,21,NA,17,2,NA,1,NA,1,NA,1,NA
"651","Igor da Silva Amaral","igor-amaral","Igor Amaral","https://s.glbimg.com/es/sde/f/2018/08/03/617d3a1d03fc88e359293779c15c367a_FORMATO.png",86073,34,"AME","mei","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Wanderson Santos Pereira","wanderson","Wanderson","https://s.glbimg.com/es/sde/f/2018/05/08/ebbd8503f27be0857e0c6fbad5884636_FORMATO.png",86143,34,"ATL","zag","Nulo",0,3.67,0,1.6,"Atlético-PR",NA,NA,2,NA,25,4,NA,19,1,12,2,NA,2,NA,NA,NA,NA,NA
"653","Joeliton Lima Santos","mansur","Mansur","https://s.glbimg.com/es/sde/f/2018/03/21/58740180fa39ea528e64aa42ba67215c_FORMATO.png",79553,34,"PAR","lat","Contundido",0,5.04,0,1.01,"Paraná",NA,NA,10,NA,48,4,NA,26,NA,14,3,3,4,NA,NA,1,1,NA
"654","Nery Rubén Bareiro Zorrilla","nery-bareiro","Nery Bareiro","https://s.glbimg.com/es/sde/f/2018/05/24/0c06a4174eedc3d6995146e7fc6bd3b2_FORMATO.png",79276,34,"CHA","zag","Nulo",0,4.32,0,1.1,"Chapecoense",NA,NA,4,NA,1,NA,NA,6,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
"655","Ricardo César Dantas da Silva","ricardo-silva","Ricardo Silva","https://s.glbimg.com/es/sde/f/2018/04/20/295c4ab26ba72d42690b414ec721c2ea_FORMATO.png",79334,34,"AME","zag","Nulo",4.7,3.14,0.14,4.7,"América-MG",NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,1,NA,NA,NA,NA,NA,NA
"656","Miguel Ángel Borja Hernández","borja","Borja","https://s.glbimg.com/es/sde/f/2017/04/23/4b0f5cd460ee874344bfbfd4e3eef9a6_FORMATO.png",86120,34,"PAL","ata","Dúvida",7.5,10.76,1.26,3.38,"Palmeiras",NA,NA,13,NA,29,NA,1,25,10,12,4,5,19,NA,3,NA,NA,NA
"657","Andrew Erik Feitosa","morato","Morato","https://s.glbimg.com/es/sde/f/2018/08/10/f20dbfb85cf291b37dab5689f90e2f2c_FORMATO.png",86227,34,"SPO","ata","Nulo",0,1.64,-0.11,1.16,"Sport",NA,NA,5,NA,6,NA,NA,6,3,5,1,4,2,NA,NA,NA,NA,NA
"658","Luiz Ricardo Alves","sassa","Sassá","https://s.glbimg.com/es/sde/f/2018/05/07/89b8e9b3d830ff681500c63572397636_FORMATO.png",79578,34,"CRU","ata","Nulo",0,1.74,0,1.05,"Cruzeiro",NA,NA,18,NA,5,NA,NA,27,7,4,4,1,10,NA,2,NA,NA,NA
"659","Antônio Carlos Cunha Capocasali Júnior","antonio-carlos","Antônio Carlos ","https://s.glbimg.com/es/sde/f/2017/04/18/5b3fcb4c6c1625d8e38d933619f9e42a_FORMATO.png",79702,34,"PAL","zag","Provável",0,7.38,0,2.94,"Palmeiras",NA,NA,10,NA,29,6,1,17,1,17,5,3,4,NA,1,NA,2,NA
"660","Lucas Silva Borges","lucas-silva","Lucas Silva","https://s.glbimg.com/es/sde/f/2018/05/07/ca0ef33e042d0136838dfb74844f22a7_FORMATO.png",79701,34,"CRU","mei","Dúvida",-0.8,4.63,-0.42,2.25,"Cruzeiro",NA,NA,22,NA,42,NA,NA,33,NA,40,4,2,11,NA,NA,NA,NA,NA
"661","Fabiano Leissmann","fabiano","Fabiano","https://s.glbimg.com/es/sde/f/2018/03/21/80a060ad2737a4abce46a048d853c93e_FORMATO.png",79887,34,"INT","lat","Suspenso",3.2,8.33,0.62,2.73,"Internacional",NA,NA,5,NA,51,10,1,21,NA,29,6,1,4,1,NA,NA,NA,NA
"662","José Welison da Silva","jose-welison","José Welison","https://s.glbimg.com/es/sde/f/2018/07/11/1d923ab86aabd29245dae5fd1338d9bd_FORMATO.png",86859,34,"ATL","mei","Contundido",0,4.91,0,2.68,"Atlético-MG",NA,NA,17,NA,39,NA,NA,36,NA,50,4,2,7,NA,NA,NA,NA,NA
"663","Odair Souza ","nenen","Nenén","https://s.glbimg.com/es/sde/f/2018/05/24/42f440f0883376df8bb747b658bbc47d_FORMATO.png",79892,34,"CHA","mei","Nulo",0,2.08,0,0.1,"Chapecoense",NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"664","Victor Luis Chuab Zamblauskas","victor-luis","Victor Luis","https://s.glbimg.com/es/sde/f/2018/03/01/1bfd94d7a93e4d5f7f21981109f79c87_FORMATO.png",86410,34,"PAL","lat","Provável",0,8.78,0,4.66,"Palmeiras",NA,NA,22,NA,47,9,NA,20,1,33,4,5,8,NA,1,NA,NA,NA
"665","Brenner Marlos Varanda de Oliveira","brenner","Brenner","https://s.glbimg.com/es/sde/f/2018/05/17/76f9aa43f58c549a5956db25ad0804f3_FORMATO.png",80080,34,"BOT","ata","Provável",-2,4.47,-0.62,1.54,"Botafogo",NA,NA,31,NA,20,NA,NA,33,4,11,2,6,7,NA,2,NA,NA,NA
"666","Douglas Moreira Fagundes","dodi","Dodi","https://s.glbimg.com/es/sde/f/2018/04/20/9dae8b824d6d7c1a316a903af9b3740e_FORMATO.png",89883,34,"FLU","mei","Dúvida",0,3.39,0,1.83,"Fluminense",NA,NA,10,NA,10,NA,NA,17,NA,25,4,2,5,NA,NA,NA,NA,NA
"667","Nadson da Silva Almeida","nadson","Nadson","https://s.glbimg.com/es/sde/f/2018/07/13/57fe46961f3ba57ecb2e3e6368babd92_FORMATO.png",80140,34,"PAR","mei","Nulo",0,2.38,0,2.23,"Paraná",NA,NA,26,NA,36,NA,NA,9,1,13,1,8,5,NA,NA,NA,1,NA
"668","Jadson Alves dos Santos","jadson","Jadson","https://s.glbimg.com/es/sde/f/2018/09/20/310961d5d1d556ea066ca5837fbb7366_FORMATO.png",80129,34,"FLU","mei","Suspenso",-6.1,6.66,-1.5,2.05,"Fluminense",NA,NA,50,NA,96,NA,1,38,2,43,7,7,9,NA,2,1,1,NA
"669","Romário Marques Rodrigues","romario-rodrigues","Romário Rodrigues","https://s.glbimg.com/es/sde/f/2018/05/25/9437477289ccd352c97a67ca86f16f82_FORMATO.png",79336,34,"CEA","ata","Contundido",0,2,0,0,"Ceará",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","Pablo Dyego da Silva Rosa","pablo-dyego","Pablo Dyego","https://s.glbimg.com/es/sde/f/2018/01/21/438b2556ee9ffdf26099d9eb3ecbe28a_FORMATO.png",86444,34,"FLU","ata","Contundido",0,5.39,0,3.24,"Fluminense",NA,NA,12,NA,15,NA,NA,4,NA,5,NA,4,6,NA,2,NA,1,NA
"671","Marcos Junio Lima dos Santos","marcos-junior","Marcos Junior","https://s.glbimg.com/es/sde/f/2018/09/20/ff2dc345ff18c0761a0ddbd4e2edef76_FORMATO.png",80188,34,"FLU","ata","Nulo",0,6.13,-0.78,2.67,"Fluminense",NA,NA,31,NA,33,NA,3,12,8,14,NA,9,7,NA,2,NA,NA,NA
"672","Francisco Edson Moreira da Silva","edinho","Edinho","https://s.glbimg.com/es/sde/f/2018/07/11/59b9a2e2576d1e0ad1c80d50c7478422_FORMATO.png",80193,34,"ATL","ata","Nulo",0,2.48,0,0.48,"Atlético-MG",NA,NA,4,NA,3,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA
"673","Milton Mendes","milton-mendes","Milton Mendes","https://s.glbimg.com/es/sde/f/2018/09/28/04be6943362ba72962775e0bf4c9ccfa_FORMATO.png",86486,34,"SPO","tec","Provável",3.96,8.95,-0.02,3.91,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"674","Jandrei Chitolina Carniel","jandrei","Jandrei","https://s.glbimg.com/es/sde/f/2018/05/24/a6bbeb6a5b1860ac8642a8ba43cd525e_FORMATO.png",86508,34,"CHA","gol","Provável",-2.9,4.44,-1.39,1.43,"Chapecoense",34,1,5,46,31,8,NA,1,NA,1,2,NA,NA,NA,NA,NA,NA,NA
"675","Lucas Fonseca da Silva","lucas-fonseca","Lucas Fonseca","https://s.glbimg.com/es/sde/f/2018/03/21/5c1c52f3afc41a4404dd7b1c888f2124_FORMATO.png",80189,34,"BAH","zag","Suspenso",1.5,7.02,0.33,2.34,"Bahia",NA,NA,25,NA,61,10,NA,19,NA,24,6,2,5,NA,NA,NA,1,NA
"676","Matheus Caldeira Vidotto de Oliveira","matheus-vidotto","Matheus Vidotto","https://s.glbimg.com/es/sde/f/2017/04/23/0469f80ea84703c3178371ab0fa1dd2f_FORMATO.png",80286,34,"COR","gol","Nulo",0,2,0,0,"Corinthians",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","Glaybson Yago Souza Lisboa","yago-pikachu","Yago Pikachu","https://s.glbimg.com/es/sde/f/2018/09/27/ade8af11f63aa15e4664fa86f8a48e0e_FORMATO.png",80196,34,"VAS","lat","Provável",0,17.08,0,6.78,"Vasco",NA,NA,92,NA,59,5,2,19,8,25,3,25,24,NA,9,1,2,NA
"678","Luciano da Rocha Neves","luciano","Luciano","https://s.glbimg.com/es/sde/f/2018/07/05/1283cc320b56be7f4661388346c1aeba_FORMATO.png",80287,34,"FLU","ata","Provável",-0.8,5.47,-0.88,3.62,"Fluminense",NA,NA,17,NA,21,NA,1,13,4,8,2,10,10,NA,3,NA,NA,NA
"679","Richardson Fernandes dos Santos","richardson","Richardson","https://s.glbimg.com/es/sde/f/2018/05/25/c51f78e8b84b9bb14c67fc3bcd7d69af_FORMATO.png",86536,34,"CEA","mei","Provável",5.2,7.56,-0.17,3.62,"Ceará",NA,NA,64,NA,40,NA,1,56,1,64,10,6,9,NA,NA,NA,NA,NA
"680","Everton Felipe de Oliveira Silva","everton-felipe","Everton Felipe","https://s.glbimg.com/es/sde/f/2018/08/21/4d64454f19345aa1913dc5a20c3bd0d2_FORMATO.png",86519,34,"SAO","mei","Nulo",0,4.07,0,1.51,"São Paulo",NA,NA,14,NA,34,NA,NA,9,1,8,NA,4,2,NA,1,NA,NA,NA
"681","Gilberto Moraes Júnior","gilberto","Gilberto ","https://s.glbimg.com/es/sde/f/2018/09/20/3cfe538c9466e35f30d8caec3cdeb003_FORMATO.png",80313,34,"FLU","lat","Contundido",0,9.49,0,6.68,"Fluminense",NA,NA,17,NA,41,6,2,20,1,34,3,4,7,NA,3,1,NA,NA
"682","Gilsivan Soares da Silva ","ivan","Ivan","https://s.glbimg.com/es/sde/f/2018/05/24/1c2dd303026c2e02bbed35cfb1595918_FORMATO.png",80326,34,"CHA","gol","Nulo",0,1.21,0,-2,"Chapecoense",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"683","Ezequiel Jacinto de Biasi","ezequiel","Ezequiel ","https://s.glbimg.com/es/sde/f/2018/05/18/579600b8688378c79b2d26c49843ed6e_FORMATO.png",80318,34,"CRU","lat","Nulo",5.9,4.49,1.01,2.17,"Cruzeiro",NA,NA,17,NA,26,4,NA,22,NA,19,5,NA,NA,NA,NA,NA,NA,NA
"684","Malcoon Silva","malcoon","Malcoon","https://s.glbimg.com/es/sde/f/2015/05/07/69c5d890c1338b62d5a46963c3c32ab1_FORMATO.jpeg",86615,34,"AME","lat","Nulo",0,2,0,0,"América-MG",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Edson Felipe da Cruz","edson","Edson","https://s.glbimg.com/es/sde/f/2018/03/21/4e079be2718f82735191cef518c39bb2_FORMATO.png",80370,34,"BAH","mei","Nulo",0,5.82,0,3.52,"Bahia",NA,NA,7,NA,3,NA,NA,3,NA,11,NA,NA,NA,NA,NA,NA,NA,NA
"686","Norberto Pereira Marinho Neto","norberto","Norberto ","https://s.glbimg.com/es/sde/f/2018/05/07/f4e6cde34ab5662df2e3a0a657c5c30b_FORMATO.png",80374,34,"AME","lat","Provável",2.7,9.82,-0.3,3.87,"América-MG",NA,NA,15,NA,26,4,1,20,2,35,3,4,1,NA,NA,NA,NA,NA
"687","João Lucas Cardoso","joao-lucas","João Lucas","https://s.glbimg.com/es/sde/f/2018/06/08/cba36b9e183d6b8a55c6361787adf089_FORMATO.jpeg",86740,34,"CEA","lat","Nulo",7.2,5.02,0.9,3.3,"Ceará",NA,NA,4,NA,28,5,NA,6,1,13,1,2,6,NA,NA,NA,NA,NA
"688","Fábio Gonçalves","fabinho","Fabinho","https://s.glbimg.com/es/sde/f/2018/06/01/b5bd22d1ec76e9e69427e3be73aadced_FORMATO.png",80393,34,"CEA","mei","Nulo",0,3.32,-0.26,1.84,"Ceará",NA,NA,12,NA,21,NA,NA,10,NA,18,1,NA,3,NA,NA,NA,NA,NA
"689","Richard Cândido Coelho","richard","Richard","https://s.glbimg.com/es/sde/f/2018/05/18/2e439bad8d914c893045a080a41aee13_FORMATO.png",86711,34,"FLU","mei","Provável",-2.9,14.25,-1.25,4.2,"Fluminense",NA,NA,37,NA,67,NA,1,49,NA,86,5,7,10,NA,2,NA,NA,NA
"690","Alejandro Ariel Cabral","ariel-cabral","Ariel Cabral","https://s.glbimg.com/es/sde/f/2018/05/18/f33acc95e50fe26abc27ac1d525bb4a4_FORMATO.png",80363,34,"CRU","mei","Provável",0,4.71,-0.14,2.76,"Cruzeiro",NA,NA,18,NA,37,NA,1,23,NA,48,8,NA,3,NA,NA,NA,NA,NA
"691","Luan Guilherme de Jesus Vieira","luan","Luan","https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png",86759,34,"GRE","ata","Nulo",0,14.47,0,5.22,"Grêmio",NA,NA,55,NA,70,NA,6,22,3,24,3,12,24,NA,1,NA,2,2
"692","Everton Sousa Soares","everton","Everton","https://s.glbimg.com/es/sde/f/2018/05/18/997feae679bb584848d2ef5197f0b406_FORMATO.png",86757,34,"GRE","ata","Provável",9.2,16.94,0.64,7.21,"Grêmio",NA,NA,33,NA,45,NA,3,27,5,31,5,20,28,NA,9,NA,3,NA
"693","Lucas Macanhan Ferreira","lucas-macanhan","Lucas Macanhan","https://s.glbimg.com/es/sde/f/2016/05/13/222c790995cc7292f07b0dc4db7cc5f4_FORMATO.png",86760,34,"ATL","gol","Nulo",0,1,0,0,"Atlético-PR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694","Luís Vinícius da Silva Matos","vinicius","Vinicius","https://s.glbimg.com/es/sde/f/2018/04/20/41282578700a83d0c3505f577dfbac5c_FORMATO.png",86861,34,"VIT","zag","Nulo",0,3,0,0,"Vitória",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695","Luan Polli Gomes","luan-polli","Luan Polli ","https://s.glbimg.com/es/sde/f/2018/08/10/1306038e63aa5d939fba83b224eb91e1_FORMATO.png",88916,34,"SPO","gol","Nulo",0,2,0,0,"Sport",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696","David Rambo Becker","david","David","https://s.glbimg.com/es/sde/f/2018/05/15/306200d24584eb1c79eb0ea0c0fb6cf9_FORMATO.png",86928,34,"PAR","gol","Nulo",0,0.73,0,-3.2,"Paraná",1,NA,NA,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697","Luiz Otávio da Silva Santos","luiz-otavio","Luiz Otávio ","https://s.glbimg.com/es/sde/f/2018/05/24/e8b83c81c541dabe3a815f0473d550fa_FORMATO.png",86863,34,"CHA","zag","Nulo",0,4.53,0,2.28,"Chapecoense",NA,NA,NA,NA,4,2,NA,3,NA,2,1,NA,1,NA,NA,NA,NA,NA
"698","Matheus Rossetto","matheus-rossetto","Matheus Rossetto","https://s.glbimg.com/es/sde/f/2018/05/08/036cf29144ee81b7e52eaed8486c6718_FORMATO.png",86766,34,"ATL","mei","Nulo",0,7.37,0,1.24,"Atlético-PR",NA,NA,5,NA,23,NA,NA,16,2,15,1,NA,3,NA,1,NA,NA,NA
"699","Emerson Raymundo Santos","emerson-santos","Emerson Santos","https://s.glbimg.com/es/sde/f/2018/07/20/c87125fb04d89c8e72a797a7b0ceeddb_FORMATO.png",86972,34,"INT","zag","Nulo",0,4.06,0,4.08,"Internacional",NA,NA,7,NA,15,3,NA,7,NA,17,1,1,3,1,NA,NA,NA,NA
"700","Jean Carlos de Souza Irmer","jean","Jean","https://s.glbimg.com/es/sde/f/2018/04/14/41df144dd9a7bef47baff80aaa56b97c_FORMATO.png",89150,34,"BOT","mei","Contundido",0,3.54,0,3.43,"Botafogo",NA,NA,19,NA,19,NA,2,33,NA,34,4,NA,4,NA,1,NA,NA,NA
"701","Raniel Santana de Vasconcelos","raniel","Raniel","https://s.glbimg.com/es/sde/f/2018/05/07/074f3b8960ae6ea7711fa17be1c27cac_FORMATO.png",86797,34,"CRU","ata","Nulo",0.5,6.42,0.03,2.52,"Cruzeiro",NA,NA,44,NA,23,NA,1,45,8,16,1,10,19,NA,4,NA,NA,1
"702","Nathan Gomes de Melo","nathan","Nathan",NA,86951,34,"VAS","ata","Nulo",0,2,0,0,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703","Jordi Almeida","jordi","Jordi","https://s.glbimg.com/es/sde/f/2018/09/27/02d931c984006234affadfc727274e72_FORMATO.png",86776,34,"VAS","gol","Nulo",0,1.07,0,-2,"Vasco",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"704","Gustavo Bonatto Barreto","barreto","Barreto","https://s.glbimg.com/es/sde/f/2018/08/01/eb32b1122051c363c367c115b252a941_FORMATO.png",89224,34,"CHA","mei","Nulo",0,1.77,0,1.09,"Chapecoense",NA,NA,8,NA,10,NA,NA,8,NA,14,2,NA,1,NA,NA,1,NA,NA
"705","Nathan Allan de Souza","nathan","Nathan","https://s.glbimg.com/es/sde/f/2018/07/25/2ebd70cae4e549a49e708c60abbee23a_FORMATO.png",87009,34,"ATL","mei","Nulo",0,3.99,0,1.39,"Atlético-MG",NA,NA,NA,NA,17,NA,NA,2,NA,6,NA,1,7,NA,NA,NA,NA,NA
"706","Leonardo Gomes da Conceição Silva","leonardo","Leonardo","https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png",86973,34,"GRE","lat","Nulo",0,4.85,0,5.69,"Grêmio",NA,NA,8,NA,24,7,1,12,NA,25,2,2,2,NA,NA,NA,NA,NA
"707","Pedro Henrique Ribeiro Gonçalves","pedro-henrique","Pedro Henrique","https://s.glbimg.com/es/sde/f/2018/03/20/8fd39c1e3c30b0a5e0900d4c03b66984_FORMATO.png",87225,34,"COR","zag","Nulo",0,5.01,0,2.34,"Corinthians",NA,NA,9,NA,15,4,NA,12,1,14,5,1,3,NA,NA,NA,NA,NA
"708","Felipe Augusto Ferreira Batista","felipe-augusto","Felipe Augusto","https://s.glbimg.com/es/sde/f/2018/03/21/995978419e90d2d7e0b7b0f9ddb1960b_FORMATO.png",89370,34,"PAR","ata","Nulo",0,3.1,0,0,"Paraná",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709","Matheus Vieira Campos Peixoto","matheus-peixoto","Matheus Peixoto","https://s.glbimg.com/es/sde/f/2018/09/05/25292011418c30eca2ce3979525cf970_FORMATO.png",87098,34,"SPO","ata","Nulo",0,1.99,0,-0.9,"Sport",NA,NA,2,NA,NA,NA,NA,4,1,NA,1,NA,1,NA,NA,NA,NA,NA
"710","José Carlos Cracco Neto","zeca","Zeca","https://s.glbimg.com/es/sde/f/2018/04/24/ef12015cf94f9b6c7ab39c4b092ba4a4_FORMATO.png",87192,34,"INT","lat","Provável",4.2,10.23,0.02,4.92,"Internacional",NA,NA,8,NA,42,10,1,15,2,30,1,1,2,NA,NA,NA,NA,NA
"711","Ânderson Balbino Assis","balbino","Balbino","https://s.glbimg.com/es/sde/f/2016/04/30/aa305ef16d18275ce438c74c73d54e15_FORMATO.png",89227,34,"GRE","mei","Nulo",0,2,0,0,"Grêmio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712","Iago Justen Maidana Martins","iago-maidana","Iago Maidana","https://s.glbimg.com/es/sde/f/2018/05/07/211b2cfc9413080da0e36bac586628df_FORMATO.png",89226,34,"ATL","zag","Provável",7.2,4.84,1.34,2.12,"Atlético-MG",NA,NA,20,NA,33,7,NA,26,1,17,5,3,6,1,NA,NA,NA,NA
"713","Saulo Ferreira Silva Nascimento","saulo","Saulo","https://s.glbimg.com/es/sde/f/2018/05/17/2e661ef69600f0353d4bc7ce467624df_FORMATO.png",89492,34,"BOT","gol","Nulo",0,2.17,0,2.69,"Botafogo",23,1,4,24,8,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
"714","Willian Marlon Ferreira Moraes","willian-maranhao","Willian Maranhão","https://s.glbimg.com/es/sde/f/2018/09/27/92d651fa08a85080370b0b2bfaddceb4_FORMATO.png",87262,34,"VAS","mei","Suspenso",-0.8,1.77,-0.38,0.78,"Vasco",NA,NA,7,NA,17,NA,2,28,NA,14,6,3,1,NA,NA,NA,NA,NA
"715","Igor Rabello da Costa","igor-rabello","Igor Rabello","https://s.glbimg.com/es/sde/f/2018/05/17/abf9ba69358d2452db077b1bf905fa24_FORMATO.png",89493,34,"BOT","zag","Provável",5.2,11.18,0.63,3.4,"Botafogo",NA,NA,28,NA,66,9,NA,23,5,45,4,3,12,1,2,NA,1,NA
"716","Bruno de Jesus Pacheco","bruno-pacheco","Bruno Pacheco","https://s.glbimg.com/es/sde/f/2018/05/24/bcba131b890d61329d3dd3d53d25182e_FORMATO.png",90061,34,"CHA","lat","Provável",2.9,7.08,-0.91,3.55,"Chapecoense",NA,NA,51,NA,55,7,1,39,NA,50,8,1,4,NA,NA,NA,NA,NA
"717","Gabriel Costa França","gabriel","Gabriel","https://s.glbimg.com/es/sde/f/2018/05/07/de5cc9b6be749402b257946886dea075_FORMATO.png",87393,34,"ATL","zag","Nulo",0,5.72,0,2.15,"Atlético-MG",NA,NA,20,NA,16,2,NA,17,NA,20,1,3,3,1,NA,NA,1,NA
"718","Andrigo Oliveira de Araujo","andrigo","Andrigo","https://s.glbimg.com/es/sde/f/2018/04/09/eb909473a1499ceb91cd8c466f192cfd_FORMATO.png",89930,34,"SPO","mei","Dúvida",-3.3,3.61,-0.57,1.01,"Sport",NA,NA,9,NA,25,NA,NA,16,2,12,1,6,5,NA,NA,NA,NA,NA
"719","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2018/08/22/915c56c34a9df8f498cac86eb7ef2f2e_FORMATO.png",87679,34,"SAO","ata","Provável",2.2,5.4,0.26,1.7,"São Paulo",NA,NA,12,NA,10,NA,NA,29,2,2,1,6,4,NA,4,NA,1,NA
"720","Leandro Alves de Carvalho","leandrinho","Leandrinho","https://s.glbimg.com/es/sde/f/2018/05/17/c707585981fdbf1f96e400538881eded_FORMATO.png",89885,34,"BOT","mei","Nulo",0,3,0,0,"Botafogo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
