"","atletas.nome","atletas.slug","atletas.apelido","atletas.foto","atletas.atleta_id","atletas.rodada_id","atletas.clube_id","atletas.posicao_id","atletas.status_id","atletas.pontos_num","atletas.preco_num","atletas.variacao_num","atletas.media_num","atletas.jogos_num","atletas.clube.id.full.name","A","CA","CV","DS","FC","FD","FF","FS","I","PI","SG","G","DD","DP","GS","FT","GC","PP"
"606","Guilherme Henrique da Silva","guilherme","Guilherme","https://s.glbimg.com/es/sde/f/2020/09/15/3a237516c85f8d22f8b1a2ae1e636a1a_FORMATO.png",109689,35,266,"lat","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"607","Leandro Miguel Fernández","leandro-fernandez","Leandro Fernández","https://s.glbimg.com/es/sde/f/2020/09/04/82a78869a31f588ee0291f918d0ad936_FORMATO.png",93303,35,285,"ata","Suspenso",-2,5.25,-0.53,1.03,9,"285",1,3,NA,3,7,4,10,7,5,31,NA,NA,NA,NA,NA,NA,NA,NA
"608","Santiago Tréllez Vivero","trellez","Tréllez","https://s.glbimg.com/es/sde/f/2020/03/09/a26febfd7e5fd4366d0dbe0997ee0521_FORMATO.png",87679,35,276,"ata","Nulo",0,3.01,0,0.55,6,"276",NA,NA,NA,1,NA,NA,2,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"609","Wagner Leonardo Calvelo de Souza","wagner-leonardo","Wagner Leonardo","https://s.glbimg.com/es/sde/f/2020/08/31/fb5f96034ec98cf83f561f397865ca64_FORMATO.png",104994,35,277,"zag","Nulo",0,2.39,0,2.31,10,"Santos",NA,NA,NA,16,1,2,NA,4,NA,18,1,NA,NA,NA,NA,NA,NA,NA
"610","Diego Henrique Costa Barbosa","diego","Diego","https://s.glbimg.com/es/sde/f/2020/08/31/f816dcd588832ba23a528a2a17f81b46_FORMATO.png",101728,35,276,"zag","Nulo",0,2.64,0,2.05,16,"276",NA,3,NA,27,31,3,4,14,NA,65,4,NA,NA,NA,NA,NA,NA,NA
"611","Lucas de Ramos Silveira","lucas-ramos","Lucas Ramos","https://s.glbimg.com/es/sde/f/2020/07/20/7b0e0156fc1cd2d84d7b0e0e46ddd001_FORMATO.png",106000,35,285,"mei","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"612","Sammuel Queiroz de Freitas","sammuel","Sammuel","https://s.glbimg.com/es/sde/f/2021/01/09/9acbc1d6ad7d752ede4c10240c12380a_FORMATO.png",109341,35,356,"lat","Nulo",0,1,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"613","Vinícius Rayan Pereira dos Santos","rayan","Rayan","https://s.glbimg.com/es/sde/f/2020/11/04/ec2f7a7f5a8c8b3cb8176140d78b31ca_FORMATO.png",106880,35,354,"ata","Nulo",0,1,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"614","Geilson Cerqueira Almeida","geilson","Geilson","https://s.glbimg.com/es/sde/f/2020/09/13/5207c4706aaf2d2b36e55db1e5a4a7ae_FORMATO.png",107882,35,356,"mei","Nulo",0,1,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"615","Raul Gustavo Pereira Bicalho","raul-gustavo","Raul Gustavo","https://s.glbimg.com/es/sde/f/2020/09/07/6ef42a43a591123de1b0e724686af4fd_FORMATO.png",109389,35,264,"zag","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"616","Wisney Junio Dias Carvalho","wisney","Wisney","https://s.glbimg.com/es/sde/f/2020/10/26/5cb1e6fbf9b5ce0e0a160755d7befca2_FORMATO.png",107374,35,266,"lat","Nulo",0,2.64,0,2.45,2,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA
"617","Gabriel Silva Vieira","gabriel-silva","Gabriel Silva","https://s.glbimg.com/es/sde/f/2020/08/31/0a2bee87b74c5aa4a5eb332b01b24185_FORMATO.png",103766,35,275,"mei","Nulo",0,0.9,0,0.22,10,"275",NA,1,NA,3,6,1,6,2,4,8,NA,NA,NA,NA,NA,NA,NA,NA
"618","Daniel Lima de Castro","daniel","Daniel","https://s.glbimg.com/es/sde/f/2020/09/05/6843fd79515e70cbbee0436b93ef2f14_FORMATO.png",107370,35,266,"lat","Nulo",0,1.02,0,1,1,"266",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"619","Francisco Tiago da Silva Santos","tiago-silva","Tiago Silva","https://s.glbimg.com/es/sde/f/2020/11/04/8afe0258fc6f94ae9cf5bed05d6d7252_FORMATO.png",107182,35,354,"mei","Nulo",0,1,0,0,0,"354",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"620","Adriano Reis Nantes Junior","juninho","Juninho","https://s.glbimg.com/es/sde/f/2020/11/13/bad72c6c05837e40c4d297eb099510c9_FORMATO.png",110604,35,275,"mei","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"621","Higor Gabriel Fernandes Alves","higor","Higor","https://s.glbimg.com/es/sde/f/2020/09/28/d5b189fb235bef5c9a534ba19078842e_FORMATO.png",107371,35,266,"zag","Nulo",0,1,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"622","Abel Mathías Hernández Platero","abel-hernandez","Abel Hernández","https://s.glbimg.com/es/sde/f/2020/08/28/4d9c29b23debc8be1dadcfe86a9cb017_FORMATO.png",74159,35,285,"ata","Nulo",0.7,6.99,0.05,2.28,22,"285",1,2,NA,16,13,6,10,11,2,40,NA,3,NA,NA,NA,NA,NA,NA
"623","Jair Ventura","jair-ventura","Jair Ventura","https://s.glbimg.com/es/sde/f/2018/09/06/d1103130500ec84fd8e37f1a20c60e1a_FORMATO.png",92180,35,292,"tec","Provável",3.26,7.3,0.22,2.83,28,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"624","João Vitor Lopes da Silva","joao-lopes","João Lopes","https://s.glbimg.com/es/sde/f/2020/02/27/4012f0571b348cc8555fa38f0282b94b_FORMATO.png",105629,35,266,"gol","Nulo",0,2,0,0,0,"266",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"625","Brayan Damián Lucumí Lucumí","brayan-lucumi","Brayan Lucumí ","https://s.glbimg.com/es/sde/f/2020/11/20/ba8f516874bee59c78902a6aa76ac76a_FORMATO.png",110635,35,294,"ata","Nulo",0,3.9,0,0.75,2,"Coritiba",NA,NA,NA,1,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"626","Érick Alexander Pluas Vera","pluas","Pluas","https://s.glbimg.com/es/sde/f/2020/11/13/94c2dc22284d7c8c2c9fbfa1e9959b2e_FORMATO.png",109323,35,275,"mei","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"627","Gabriel Novaes Fernandes","gabriel-novaes","Gabriel Novaes","https://s.glbimg.com/es/sde/f/2020/11/20/60f9cb402b72de8476cb75904456b9be_FORMATO.png",109639,35,265,"ata","Provável",12.6,5.43,2.33,2.38,11,"265",NA,NA,NA,8,8,3,1,7,1,13,NA,2,NA,NA,NA,NA,NA,NA
"628","Vinícius Santana da Silva","vinicius-popo","Vinícius Popó","https://s.glbimg.com/es/sde/f/2020/11/21/5b68f879cc5309f1cde0c8843b3ea453_FORMATO.png",105201,35,292,"ata","Nulo",0,2,0,0,0,"292",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"629","Antonio Mikael Rodrigues Brito","mikael-doka","Mikael Doka","",110606,35,277,"lat","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"630","Vinícius Balieiro Lourenço de Carvalho","vinicius-balieiro","Vinícius Balieiro","https://s.glbimg.com/es/sde/f/2020/12/14/c894d17e830d2643cde89f86ad4858f0_FORMATO.png",110605,35,277,"mei","Provável",0.4,3.85,0.1,1.79,7,"Santos",1,1,NA,12,10,NA,NA,7,NA,10,NA,NA,NA,NA,NA,NA,NA,NA
"631","Hugo Gonçalves Ferreira Neto","hugo","Hugo","https://s.glbimg.com/es/sde/f/2020/09/01/92a0fea7045605b2258385813fe03b68_FORMATO.png",109668,35,263,"lat","Provável",0.3,1.59,-0.42,2.6,2,"263",NA,NA,NA,3,4,NA,NA,NA,NA,8,1,NA,NA,NA,NA,NA,NA,NA
"632","Benjamín Kuscevic Jaramillo","kuscevic","Kuscevic","https://s.glbimg.com/es/sde/f/2020/11/05/474301b42de21f3723694c3a39533818_FORMATO.png",98619,35,275,"zag","Dúvida",0,6.46,0,5.08,4,"275",NA,1,NA,9,4,1,NA,5,NA,14,2,NA,NA,NA,NA,1,NA,NA
"633","Fabricio do Nascimento Biato","fabricio","Fabrício","https://s.glbimg.com/es/sde/f/2018/11/30/09f85c2c1fe3a2f2b6838539c51afd95_FORMATO.png",103765,35,275,"ata","Nulo",0,1.13,0,0.5,2,"275",NA,NA,NA,NA,3,NA,1,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"634","Taylon Vinícius dos Santos Carvalho","taylon","Taylon","https://s.glbimg.com/es/sde/f/2021/02/04/54cbabff1bf709a50369ff91cc4a3204_FORMATO.png",107250,35,290,"lat","Nulo",0.9,2.43,-0.65,1.52,6,"290",NA,2,NA,9,9,NA,NA,1,NA,19,2,NA,NA,NA,NA,NA,NA,NA
"635","Arthur Henrique Bittencourt","arthur","Arthur","https://s.glbimg.com/es/sde/f/2019/01/25/5f0f0047f511d254fd9d18a7ef986daa_FORMATO.png",101173,35,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"636","Bruno Henrique Marques Torres","bruno-marques","Bruno Marques","https://s.glbimg.com/es/sde/f/2020/03/09/00d433696e95850a16f0592920caea21_FORMATO.png",105111,35,277,"ata","Nulo",2.3,4.64,-0.02,3.41,11,"Santos",NA,NA,NA,11,16,5,4,8,3,12,NA,3,NA,NA,NA,NA,NA,NA
"637","Derick Fernando da Silva","derick","Derick ","https://s.glbimg.com/es/sde/f/2020/09/08/24438480d9271c4a4a3cf8954098d02b_FORMATO.png",109830,35,277,"zag","Nulo",0,0.77,0,0,1,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"638","Lucimário Bezerra da Silva","lucimario","Lucimário","https://s.glbimg.com/es/sde/f/2020/11/23/6fc87d72e162be59c0d5454f9582e1ce_FORMATO.png",104129,35,265,"zag","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"639","Gabriel Cordeiro Pirani","gabriel-pirani","Gabriel Pirani","https://s.glbimg.com/es/sde/f/2020/11/14/08353344752fbeb7692e9eb14bbd734d_FORMATO.png",110607,35,277,"mei","Nulo",0,1,0,0,0,"Santos",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"640","Jemerson de Jesus Nascimento","jemerson","Jemerson","https://s.glbimg.com/es/sde/f/2020/11/06/e198e31fd420c974a4af352bc0fd0a4d_FORMATO.png",84263,35,264,"zag","Contundido",0,6.89,0,5.65,2,"264",NA,NA,NA,2,2,NA,1,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA
"641"," João Paulo Silveira dos Santos","joao-paulo-silveira","João Paulo Silveira","https://s.glbimg.com/es/sde/f/2020/11/14/96c3922c9fd3203d80b8ec43ef6a23c0_FORMATO.png",107453,35,356,"zag","Nulo",0,1,0,0,0,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"642","Jean Carlos Batista","jean","Jean","https://s.glbimg.com/es/sde/f/2020/11/22/ca40715bc97a6033fd8420acae2dee00_FORMATO.png",110640,35,282,"gol","Nulo",0,1,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"643","Enderson Alves Moreira","enderson-moreira","Enderson Moreira","https://s.glbimg.com/es/sde/f/2021/01/09/5336a68c773385a330b61ee664795b87_FORMATO.png",62137,35,356,"tec","Provável",8.25,6.81,1.03,2.8,15,"356",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"644","Andrew da Silva Ventura","andrew","Andrew","https://s.glbimg.com/es/sde/f/2019/03/28/6bb49f946fbf4eb4e9fa370948141d04_FORMATO.png",103183,35,263,"gol","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"645","Vinícius de Azevedo Barcellos","vinicius-barcellos","Vinícius Barcellos",NA,110672,35,265,"zag","Nulo",0,1,0,0,0,"265",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"646","Aldemir dos Santos Ferreira","ferreira","Ferreira","https://s.glbimg.com/es/sde/f/2020/07/19/5e28328bd5d542110444e7c5562c21fe_FORMATO.png",101290,35,284,"ata","Nulo",1.3,4.89,0.12,2.72,17,"284",NA,NA,NA,13,9,8,11,15,1,38,NA,2,NA,NA,NA,NA,NA,NA
"647","João Vitor Moreira Dos Santos","robinho","Robinho","https://s.glbimg.com/es/sde/f/2020/11/16/40bab31e5f13f21221d786968d347c5f_FORMATO.png",110623,35,294,"ata","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"648","Weverson Moreira da Costa","weverson","Weverson","https://s.glbimg.com/es/sde/f/2020/08/07/b2b35810b693ede75833b9de607b5ffd_FORMATO.png",109426,35,280,"lat","Nulo",0,0.89,0,0.18,15,"280",NA,1,1,14,9,1,1,1,2,63,1,NA,NA,NA,NA,NA,NA,NA
"649","Igor Morais Carvalho","igor","Igor","https://s.glbimg.com/es/sde/f/2020/09/29/76f776e501b44c536be796644b94eb72_FORMATO.png",105887,35,264,"zag","Nulo",0,1,0,0,0,"264",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"650","João Paulo da Silva Alves","joao-paulo","João Paulo","https://s.glbimg.com/es/sde/f/2020/11/17/9fdf11f57baeb28d97181c41f210d7a5_FORMATO.png",86770,35,356,"mei","Nulo",0,4.56,0,0.13,6,"356",NA,1,NA,5,8,1,2,3,NA,25,NA,NA,NA,NA,NA,NA,NA,NA
"651","Welington Damascena Santos","wellington","Wellington ","https://s.glbimg.com/es/sde/f/2019/12/07/c9de64dc6e4e157739fb08d0cba45a7b_FORMATO.png",106824,35,276,"lat","Nulo",0,1,0,0,0,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"652","Antonio Javier Galeano Ferreira","galeano","Galeano","https://s.glbimg.com/es/sde/f/2021/01/05/41cfb3f99bfa68692f9dc460876c6fa2_FORMATO.png",108713,35,276,"ata","Nulo",-0.1,0.78,-0.22,-0.1,1,"276",NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
"653","Dalberto Luan Belo","dalberto","Dalberto","https://s.glbimg.com/es/sde/f/2020/11/20/22165cdbf4a8d2ab347cd89ef88552b4_FORMATO.png",97995,35,292,"ata","Provável",9.6,5.34,1.81,2.66,11,"292",NA,NA,NA,7,20,7,8,9,8,50,NA,2,NA,NA,NA,2,NA,NA
"654","Eduardo Jesús Vargas Rojas","vargas","Vargas","https://s.glbimg.com/es/sde/f/2020/11/09/cb8b9463d4eb0ae15c7d51da96d5d3ac_FORMATO.png",69102,35,282,"ata","Provável",2,9.27,0.19,3.63,11,"282",1,1,NA,10,6,5,11,11,7,48,NA,2,NA,NA,NA,2,NA,1
"655","Léo Matias Baiersdorf Linck","leo-linck","Léo Linck","https://s.glbimg.com/es/sde/f/2020/01/21/92721dbb7773acddb51581d786249881_FORMATO.png",107183,35,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"656","Nicolas Miguel Morsch","nicolas","Nicolas","https://s.glbimg.com/es/sde/f/2020/11/24/7e2bdadbf80e322a2565aa10af6d9082_FORMATO.png",107752,35,285,"mei","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"657","Vanderson de Oliveira Campos","vanderson","Vanderson","https://s.glbimg.com/es/sde/f/2020/07/19/24a0d42c1091b86fce08bf917f0cb817_FORMATO.png",107750,35,284,"lat","Nulo",0.8,2.18,-0.2,2.98,4,"284",NA,1,NA,9,7,NA,2,4,NA,32,NA,1,NA,NA,NA,NA,NA,NA
"658","Matheus Sousa Pereira","pereira","Pereira","https://s.glbimg.com/es/sde/f/2020/11/13/9dbc967183974e31afd1cefae91b83a9_FORMATO.png",97711,35,373,"zag","Nulo",0,4.65,0,3.44,9,"373",NA,3,NA,12,5,1,1,7,NA,11,3,1,NA,NA,NA,NA,NA,NA
"659","Caio Vidal Rocha","caio","Caio","https://s.glbimg.com/es/sde/f/2020/07/20/e986424fc26888b6bd9ec0673a9a6b5d_FORMATO.png",107745,35,285,"ata","Provável",5,4.54,0.93,3.19,11,"285",NA,3,NA,6,15,3,5,34,NA,40,NA,2,NA,NA,NA,2,NA,NA
"660","Vinícius Lopes da Silva","vinicius","Vinícius","https://s.glbimg.com/es/sde/f/2020/09/24/f3ee6a9a8f1a2edeccd5d3f9d5cc70cd_FORMATO.png",104660,35,290,"ata","Provável",13.8,7.14,2.17,4.03,23,"290",3,3,NA,31,34,12,11,46,3,67,NA,4,NA,NA,NA,NA,NA,NA
"661","Leandro Matheus dos Anjos Conceição de Oliveira","leandro","Leandro","https://s.glbimg.com/es/sde/f/2020/11/17/72cf2c656a1a49ffafa38dfb958d87cc_FORMATO.jpeg",107222,35,275,"gol","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"662","Murilo Gomes Barreto Neto","murilo","Murilo","https://s.glbimg.com/es/sde/f/2020/11/24/2921071a7cd4ff8857a5a839aad0fa4f_FORMATO.png",107755,35,285,"mei","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"663","Alyson José da Motta","alyson","Alyson","https://s.glbimg.com/es/sde/f/2020/11/14/c9b0f1297c6448108c23501a0fb56859_FORMATO.png",110561,35,290,"ata","Nulo",0,2.85,0,6.6,1,"290",1,NA,NA,1,1,NA,1,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"664","Jonathan Renato Barbosa","jonathan-cafu","Jonathan Cafu","https://s.glbimg.com/es/sde/f/2020/11/09/72663d168227b1d3b1e97197fb92447a_FORMATO.png",78580,35,264,"ata","Nulo",0,4.67,0,1.85,2,"264",NA,NA,NA,3,1,NA,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA
"665","Emerson Fabiano Kerber Júnior","emerson-junior","Emerson Júnior","https://s.glbimg.com/es/sde/f/2020/11/24/761d9353281e11362a025a163d079687_FORMATO.png",107740,35,285,"gol","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"666","Bento Matheus Krepski","bento","Bento","https://s.glbimg.com/es/sde/f/2020/01/21/ab6dea8e1671b6a86c1c7321be69d347_FORMATO.png",105208,35,293,"gol","Nulo",0,0.94,0,1,1,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,2,NA,3,NA,NA,NA
"667","Helderson Tavares Santos","helder","Helder","https://s.glbimg.com/es/sde/f/2020/11/17/cbb586aa88b4625db7eb4e394b179cb6_FORMATO.jpeg",107230,35,275,"zag","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"668","Vinicius Augusto Tobias da Silva","vinicius-tobias","Vinicius Tobias","https://s.glbimg.com/es/sde/f/2020/11/24/ecf4bcd928424500d31efe161887e297_FORMATO.png",110688,35,285,"lat","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"669","Mateus Oliveira Mendes","mateus","Mateus","https://s.glbimg.com/es/sde/f/2020/11/17/cad91db445a56f21c99b495b2b88f8c9_FORMATO.jpeg",110624,35,275,"gol","Nulo",0,1,0,0,0,"275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"670","João Victor Vaz Lopes Pinto","vitinho","Vitinho","https://s.glbimg.com/es/sde/f/2020/09/30/3709478ac932eba7f079543c8389eafb_FORMATO.png",110235,35,263,"ata","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"671","Leonardo Ferreira Gonçalves","leo-ferreira","Léo Ferreira","https://s.glbimg.com/es/sde/f/2020/09/16/af972d3c671cad3d18f6cfdebf06700c_FORMATO.png",107760,35,285,"ata","Nulo",0,1.45,0,1.5,1,"285",NA,NA,NA,NA,1,NA,3,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA
"672","Wendel Lessa de Macedo Gonçalves","wendel","Wendel","https://s.glbimg.com/es/sde/f/2020/09/30/efbf80afd762b35124cdf263fd02a3a2_FORMATO.png",107519,35,263,"mei","Nulo",0,1,0,0,0,"263",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"673","Ezequiel Cerutti","cerutti","Cerutti","https://s.glbimg.com/es/sde/f/2020/10/20/4e7dc54de447fc159cc6c6d46dd571fe_FORMATO.png",91502,35,294,"ata","Nulo",0,5.22,0,0.3,7,"Coritiba",NA,NA,NA,4,7,NA,NA,10,NA,34,NA,NA,NA,NA,NA,NA,NA,NA
"674","Maximiliano Ezequiel Zalazar","maxi-salazar","Maxi Salazar","https://s.glbimg.com/es/sde/f/2020/11/24/dd71a83fb1643a92885b65d1a63f4131_FORMATO.png",110689,35,285,"ata","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"675","Sivaldo de Jesus Santos Junior","junior-santos","Júnior Santos","https://s.glbimg.com/es/sde/f/2020/11/18/fc9de62a0fce79ca40875ef8cd6b7d04_FORMATO.png",110626,35,282,"gol","Nulo",0,1,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"676","Diego Santos Monteiro","diego-monteiro","Diego Monteiro","https://s.glbimg.com/es/sde/f/2020/03/03/59ea3fcf6b8099184e3d7afece30e0e5_FORMATO.png",107136,35,294,"gol","Nulo",0,1,0,0,0,"Coritiba",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"677","João Victor Tavares de Souza","joao-tavares","João Tavares","https://s.glbimg.com/es/sde/f/2020/11/24/ed75ccc81ae843b476ae9b659862e9a7_FORMATO.png",110690,35,285,"ata","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"678","Vinicius Silveira de Mello","vinicius-silveira","Vinicius Silveira","https://s.glbimg.com/es/sde/f/2020/11/24/3bff6c9ad26c04233fd3a10fff1e149e_FORMATO.png",110687,35,285,"ata","Nulo",0,1,0,0,0,"285",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"679","Christian Roberto Alves Cardoso","christian","Christian","https://s.glbimg.com/es/sde/f/2020/02/28/459619b85e3c40ab2998b4b1deef1873_FORMATO.png",104502,35,293,"mei","Provável",0.7,0.93,-0.06,0.32,26,"293",NA,6,NA,21,48,6,4,29,2,116,NA,1,NA,NA,NA,1,NA,NA
"680","Ewerthon Diógenes Da Silva","ewerthon","Ewerthon","https://s.glbimg.com/es/sde/f/2020/11/13/642cb05f0d1e57898ef6cc10c4d2b5ed_FORMATO.png",106082,35,292,"lat","Provável",-0.2,2.48,-0.39,1.43,7,"292",NA,NA,NA,4,3,NA,1,2,2,33,2,NA,NA,NA,NA,NA,NA,NA
"681","Guilherme Santos da Silva","guilherme-santos","Guilherme Santos","https://s.glbimg.com/es/sde/f/2020/11/18/d5f12cbaf0d8e5ee09d052dfbdefeb22_FORMATO.png",104414,35,282,"ata","Nulo",0,1,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682","Luan Patrick Wiedthauper","luan-patrick","Luan Patrick","https://s.glbimg.com/es/sde/f/2020/02/28/28c6a5315c325c2abe37899978a526e9_FORMATO.png",106835,35,293,"zag","Nulo",0.3,1.62,-0.38,0.3,1,"293",NA,NA,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
"683","Jair Diego Alves de Brito","jaja","Jajá","https://s.glbimg.com/es/sde/f/2020/02/28/d7b228fb1f0473cd8f5e68c71f5f2a95_FORMATO.png",107195,35,293,"ata","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684","Isaque Storoli Gavioli","isaque","Isaque","https://s.glbimg.com/es/sde/f/2020/11/18/cefca6722a542a9e72a0dc92197d4752_FORMATO.png",104413,35,282,"zag","Nulo",0,1,0,0,0,"282",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685","Mycael Pontes Moreira","mycael","Mycael","https://s.glbimg.com/es/sde/f/2020/11/27/7f6f086c28337ecefbe6fe7db99ab649_FORMATO.png",110698,35,293,"gol","Nulo",0,1,0,0,0,"293",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686","Saulo Rodrigues da Silva","saulo-mineiro","Saulo Mineiro","https://s.glbimg.com/es/sde/f/2020/09/24/6ceba057ce17022449326aff9d66b9c0_FORMATO.png",98274,35,354,"ata","Nulo",0.5,2.93,0.28,1.39,14,"354",NA,1,NA,9,25,1,5,8,2,20,NA,2,NA,NA,NA,1,NA,NA
"687","Romildo Del Piage de Souza","romildo","Romildo","https://s.glbimg.com/es/sde/f/2020/09/30/adfe338d662135f7233e4762688716a1_FORMATO.png",107972,35,263,"mei","Provável",3.3,1.34,0.57,1.6,2,"263",NA,NA,NA,3,3,NA,1,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA
